私	わたし	我
田中	たなか	田中
これ	これ	これ
時計	とけい	钟表
ノート	ノート	笔记本
張	ちょう	张
本	ほん	书
中国	ちゅうごく	中国
車	くるま	车、汽车
先生	せんせい	老师、先生
学生	がくせい	学生
それ	それ	それ
あれ	あれ	あれ
この	この	この
その	その	その
あの	あの	あの
は	は	は
です	です	です
ではありません	ではありません	不是
も	も	也
の	の	的
と	と	连接词
空港	くうこう	机场
東京外国語大学	とうきょうがいこくごだいがく	东京外国语大学
山田	やまだ	山田
か	か	疑问
そうです	そうです	是的
はい	はい	是的、对
東北師範大学	とうほくしはんだいがく	东北师范大学
李立軍	りりつぐん	李立军
初めまして	はじめまして	初次见面的寒暄语
どうぞよろしく	どうぞよろしく	请多关照
こちらこそ	こちらこそ	彼此彼此
かばん	かばん	包、皮包
そうですか	そうですか	是吗
留学生課	りゅうがくせいか	留学生科
あのう	あのう	喂
すみません	すみません	对不起、抱歉
こちら	こちら	这里、这位
国費留学生	こくひりゅうがくせい	公派留学生
国費	こくひ	国费
どうぞよろしくお願いします	どうぞよろしくおねがいします	请多关照
パスポート	パスポート	护照
をお願いします	をおねがいします	请给我看一下
部屋	へや	房间
鍵	かぎ	钥匙
どうぞ	どうぞ	请
ありがとうございます	ありがとうございます	谢谢
いいえ、どういたしまして	いいえ、どういたしまして	哪里哪里、不用客气
おみやげ	おみやげ	土特产、礼物
何	なん	什么
お茶	おちゃ	茶
雑誌	ざっし	杂志
辞書	じしょ	词典
ボールペン	ボールペン	圆珠笔
鉛筆	えんぴつ	铅笔
消しゴム	けしゴム	橡皮
自転車	じてんしゃ	自行车
方	かた	人的尊称
王	おう	王
中国語	ちゅうごくご	汉语
あの人たち	あのひとたち	那些人
大学院	だいがくいん	研究生院
人	ひと	人
あの人	あのひと	那个人
女	おんな	女人
鈴木	すずき	铃木
男	おとこ	男人
京都大学	きょうとだいがく	京都大学
大阪大学	おおさかだいがく	大阪大学
佐藤	さとう	佐藤
文学部	ぶんがくぶ	文学部
英語	えいご	英语
専門	せんもん	专业
経済学	けいざいがく	经济学
経営学	けいえいがく	经营学
化学	かがく	化学
数学	すうがく	数学
アメリカ	アメリカ	美国
イギリス	イギリス	英国
スマートフォン	スマートフォン	智能手机
タブレット	タブレット	平板电脑
USBメモリ	USBメモリ	U盘
お弁当	おべんとう	盒饭
歴史	れきし	历史
日本語	にほんご	日语
医学	いがく	医学
文学	ぶんがく	文学
私費	しひ	自费
医学部	いがくぶ	医学部
外国	がいこく	外国
切手	きって	邮票
