丈夫な	じょうぶな	坚固
もらいます	もらいます	接受
雨	あめ	雨
降ります	ふります	下
風	かぜ	风
吹きます	ふきます	刮
おめでとうございます	おめでとうございます	恭喜
プレゼント	プレゼント	礼物
わあ	わあ	哎呀
きれいな	きれいな	好看的
どうもすみません	どうもすみません	对不起
にぎやかな	にぎやかな	热闹的
大勢	おおぜい	众多
元気な	げんきな	健康的
あげる	あげる	给
やむ	やむ	停
傘	かさ	伞
母	はは	母亲
そうですか	そうですか	原来如此
祖父	そふ	祖父
祖母	そぼ	祖母
父	ちち	父亲
母	はは	母亲
両親	りょうしん	父母
兄	あに	兄
姉	あね	姐
弟	おとうと	弟
妹	いもうと	妹
兄弟	きょうだい	兄弟、姐妹
おじ	おじ	伯父、叔叔
おば	おば	伯母、叔母
主人	しゅじん	丈夫
夫	おっと	丈夫
家内	かない	爱人
妻	つま	爱人
子供	こども	孩子
息子	むすこ	儿子
娘	むすめ	女儿
おじいさん	おじいさん	爷爷、公公、祖父、外祖父
おばあさん	おばあさん	奶奶、外婆、姥姥、外祖母
お父さん	おとうさん	爸爸
お母さん	おかあさん	妈妈
ご両親	ごりょうしん	您的父母亲
お兄さん	おにいさん	哥哥
お姉さん	おねえさん	姐姐
弟さん	おとうとさん	弟弟
妹さん	いもうとさん	妹妹
ご兄弟	ごきょうだい	兄弟姐妹
おじさん	おじさん	伯父、叔叔
おばさん	おばさん	伯母、叔母、舅母
ご主人	ごしゅじん	您的丈夫
奥さん	おくさん	夫人
ご家族	ごかぞく	家属
ご親類/ご親戚	ごしんるい/ごしんせき	亲属/亲戚
子供さん	こどもさん	您的孩子
お子さん	おこさん	您的孩子
息子さん	むすこさん	您的儿子
娘さん	むすめさん	您的女儿
お嬢さん	おじょうさん	您的女儿
大切な	たいせつな	重要
静かな	しずかな	安静
奈良	なら	奈良
有名な	ゆうめいな	有名
暇な	ひまな	闲暇
弱い	よわい	弱
汚い	きたない	肮脏
お～	お～	お～
ご家族	ごかぞく	您的家属
チケット	チケット	票子
恋人	こいびと	恋人
財布	さいふ	钱包
友達	ともだち	朋友
荷物	にもつ	行李
雪	ゆき	雪
鳴ります	なります	响
地震	じしん	地震
台風	たいふう	台风
津波	つなみ	海啸
