習います	ならいます	学习
けんか	けんか	吵架
零	れい	零
同じ	おなじ	相同
くれます	くれます	给（我）
送ります	おくります	送
似ています	にています	像、长的一样
よく	よく	很
教える	おしえる	教
かけます	かけます	打（电话）
出します	だします	寄（信）
名前	なまえ	姓名
聞きます	ききます	问
答えます	こたえます	回答
見せます	みせます	给。。。看
会います	あいます	遇见
話します	はなします	讲
相談	そうだん	商量
婚約	こんやく	婚约
結婚	けっこん	结婚
離婚	りこん	离婚
別れます	わかれます	分别
先生方	せんせいがた	老师们
いつも	いつも	常常
競争	きょうそう	竞争
戦争	せんそう	战争
卓球	たっきゅう	乒乓球
試合	しあい	比赛
班	はん	班
数字	すうじ	数字
ゼロ	ゼロ	零
 だいぶ	 だいぶ	很、非常
違います	ちがいます	不是
答えます	こたえます	答案
クラス	クラス	班级
チーム	チーム	组
年	とし	年
いいえ、違います	いいえ、ちがいます	不对
人家族	にんかぞく	口人的家庭
