終わります	おわります	结束
会議	かいぎ	会议
まだ	まだ	尚、还
桃	もも	桃子
作文	さくぶん	作文
間違い	まちがい	错误
多い	おおい	多
しかし	しかし	但是
が	が	虽、但
発表資料	はっぴょうしりょう	发表资料
もう	もう	已经
コピー	コピー	复印
ゼミ	ゼミ	讨论会
十時半	じゅうじはん	10点半
手伝います	てつだいます	帮忙
皆	みな	都
みんな	みんな	大家
遅くなりました	おそくなりました	迟到了
じゃ	じゃ	那么
今から	いまから	从现在起
始めます	はじめます	开始
発表資料	はっぴょう	发表
お願いします	おねがいします	请
大丈夫	だいじょうぶ	不要紧
だんだん	だんだん	渐渐
始まります	はじまります	开始
住所	じゅうしょ	地址
変わります	かわります	变
寝ます	ねます	睡觉
熱い	あつい	热
冷たい	つめたい	冷
前は	まえは	以前
なります	なります	成为
細い	ほそい	细
太い	ふとい	粗
赤ちゃん	あかちゃん	婴儿
軽い	かるい	轻
重い	おもい	重
強い	つよい	强
少ない	すくない	少
やわらかい	やわらかい	软
固い	かたい	硬
厚い	あつい	厚
薄い	うすい	薄
天気	てんき	天气
成績	せいせき	成绩
ずいぶん	ずいぶん	颇
値段	ねだん	价格
火事	かじ	火灾
経済	けいざい	经济
ベル	ベル	铃
うるさい	うるさい	吵闹
工事	こうじ	工程
速い	はやい	快
パンダ	パンダ	熊猫
遅い	おそい	慢
地下鉄	ちかてつ	地铁
テスト	テスト	考试
つまらない	つまらない	没趣
予備学校	よびがっこう	预备学校
生活	せいかつ	生活
大変	たいへん	太费劲
うち	うち	里面
