好き	すき	喜欢
歌	うた	歌曲
上手な	じょうずな	拿手、擅长
所	ところ	地方、地点
野球	やきゅう	棒球
盛んな	さかんな	盛行、流行
やっぱり	やっぱり	果然、到底还是
こと	こと	事情
今度	こんど	此次、这一回
ええ	ええ	恩、哎
ルール	ルール	规则
残念な	ざんねんな	遗憾
そろそろ	そろそろ	很快、马上、就要
グランド	グランド	运动场、体育馆
気持ちがいい	きもちがいい	舒服、心情舒畅
それほどでもありません	それほどでもありません	并非如此这般、并非那样
僕	ぼく	我
まあまあ	まあまあ	一般、还可以、普通
下手	へた	不好、不擅长
赤	あか	红色
白	しろ	白色
黒	くろ	黑色
青	あお	青色
紫	むらさき	紫色
黄色	きいろ	黄色
緑色	みどりいろ	绿色
茶色	ちゃいろ	茶色
だいだい色	だいだいいろ	橙色
ピンク	ピンク	粉色
グレー	グレー	灰色
嫌い	きらい	不喜欢、厌烦
大好き	だいすき	非常喜欢
桜	さくら	樱花
食べ物	たべもの	食物
科目	かもく	科目
大嫌い	だいきらい	非常不喜欢
飲み物	のみもの	饮料、饮品
果物	くだもの	水果
すいか	すいか	西瓜
町	まち	街区、镇
季節	きせつ	季节
まだまだ	まだまだ	还不行、差的远
ピアノ	ピアノ	钢琴
危ない	あぶない	危险
安全な	あんぜんな	安全
楽な	らくな	轻松
病気	びょうき	疾病
平和な	へいわな	和平、安宁
不便な	ふべんな	不便
便利な	べんりな	便利
十九歳	じゅうきゅうさい	十九岁
二十歳	はたち	20岁
２つ	ふたつ	2个、2岁
３つ	みっつ	3个、3岁
いくつ	いくつ	几个、几岁
ドル	ドル	美元
元	げん	元
何分	なんぷん	几分
何日	なんにち	几天
練習	れんしゅう	练习
作ります	つくります	做、作
泳ぎます	およぎます	游泳
映画館	えいがかん	电影院
物	もの	物品、东西
お菓子	おかし	点心、糕点
時	とき	点、时
お医者さん	おいしゃさん	大夫
試験	しけん	考试、测试
薬	くすり	药
飲みます	のみます	喝、饮
昼寝	ひるね	午睡
安全な	あんぜんな	安全
歌います	うたいます	唱歌
弾きます	ひきます	弹
わかります	わかります	明白、懂
アラビア語	アラビアゴ	阿拉伯语
