１日	いちにち	1日、1天
３回	さんかい	3次、3回
２、３回	に、さんかい	两三次、两三回
５、６人	ご、ろくにん	5、6人
研究会	けんきゅうかい	研究会
孫［人名］	そん	姓孙
困る	こまる	为难、难办
あの	あの	那个、喂
ちょっと…	ちょっと…	一点、稍微
学会	がっかい	学会
いっしょに	いっしょに	一起
何回	なんかい	几次、多次
全国大会	ぜんこくたいかい	全国大会
～に（～回）	～に（～かい）	表示比例，与数字一起使用。多长时间一次。
毎回	まいかい	每次、每回
大会	たいかい	大会
一月	ひとつき	一个月
二月	ふたつき	两个月
三月	みつき	三个月
桃	もも	桃子
テキスト	テキスト	课本、教科书
やる［を］	やる	做、干、打
卓球	たっきゅう	乒乓球
犬	いぬ	狗
大阪	おおさか	大阪
神戸	こうべ	神户
どこか	どこか	不知哪里、也许哪里
北京	ペキン	北京
上海	シャンハイ	上海
太極拳	たいきょくけん	太极拳
だれか	だれか	哪位
講義	こうぎ	讲课、讲授
プロジェクター	プロジェクター	投影机、放映机
コンサート	コンサート	音乐会、演奏会
いろいろな	いろいろな	各种各样的
会場	かいじょう	会场
展覧会	てんらんかい	展览会
事故	じこ	事故
近所	きんじょ	附近、近处
昔	むかし	昔日、从前
地方	ちほう	地方、地区，地域。泛指首都以外的地区，有时表示“乡下”之意。
戦争	せんそう	战争
洪水	こうずい	洪水
オリンピック	オリンピック	奥林匹克
歯	は	牙、牙齿
磨く［を］	みがく	刷、擦，磨炼
～回	～かい	～次、～回
シャワー	シャワー	淋浴
浴びる［を］	あびる	浇、淋、浴
夢	ゆめ	梦；理想、抱负
一晩	ひとばん	一个晚上
髪の毛	かみのけ	头发，仅限于指代人的头发。
洗う［を］	あらう	洗
足	あし	脚、足
爪	つめ	指甲
切る［を］	きる	剪
ひげ	ひげ	胡子、胡须
そる［を］	そる	剃、刮
顔	かお	脸、面孔；容貌；神情
手	て	手
ジョギング	ジョギング	慢跑
