入学試験	にゅうがくしけん	入学考试
ええと	ええと	（感)嗯。说话间的短暂停顿或思考时使用。
ホームページ	ホームページ	主页，浏览因特网的目录页面。
募集要項	ぼしゅうようこう	招募要点
あ	あ	（感)啊
合格発表	ごうかくはっぴょう	宣布合格(及格）
研究計画書	けんきゅうけいかくしょ	研究计划书
大体	だいたい	大体上、大概
だめです	だめです	不行、不好。谦虚、客气的表达方式。
がんばりましょう	がんばりましょう	努力吧、加油吧
何でしょうか	なんでしょうか	有什么事吗
あら	あら	（感)哎呀。表示吃惊、感动等。多为女性所用。
この次	このつぎ	下次、下回
準備	じゅんび	准备
まだまだです	まだまだです	仍然，尚不充分。本课是谦虚的说法，还差得很远。
わかりやすい	わかりやすい	通熟易懂
ポスター	ポスター	海报。用A1纸打印的带有研究内容的宣传画。
手伝う［を］	てつだう	帮助、协助
旅行	りょこう	旅行
ピンポン	ピンポン	乒乓球
やる［を］	やる［を］	做、干、打
ラーメン	ラーメン	拉面
工学	こうがく	工程学
化学	かがく	化学
呼ぶ［を］	よぶ	喊、叫；叫来；邀请
連れて行く［を］	つれていく	带去、领去。动作对象为人。
連れて来る［を］	つれてくる	领来、带来。动作对象为人。
連れて帰る［を］	つれてかえる	领回去，动作对象为人。
見つける［を］	みつける	找出、发现
ゆっくり	ゆっくり	慢慢地、不着急
見物	けんぶつ	观光、游览
持って行く［を］	もっていく	带去，动作对象为物体。
持って来る［を］	もってくる	带来，动作对象为物体。
持って帰る［を］	もってかえる	带回去、拿回去，动作对象为物体。
見学	けんがく	参观学习，实地考察
～たい	～たい	表示希望、愿望，接在动词活用形后面。
どうでしょうか	どうでしょうか	怎么样呢，怎么想的呢?
借りる[に/から]［を］	かりる	借、借用
見送る［を］	みおくる	送、送行
迎える［を］	むかえる	迎、迎接
資料	しりょう	资料
探す［を］	さがす	找、寻找
見舞う［を］	みまう	探望、慰问
プール	プール	游泳池
会話	かいわ	会话
電子工学	でんしこうがく	电子工学
運転	うんてん	驾驶、开车等
政治学	せいじがく	政治学
