気をつける	きをつける	注意、小心
～てください	～てください	请，接在动词活用之后。
窓	まど	窗、窗户
開ける［を］	あける	开、打开
だから	だから	所以
閉める［を］	しめる	关、关闭（门、窗等）
～しましょうか	～しましょうか	接在动词后面，表示向对方提出某种建议，动作行为主体是说话者自己。
字	じ	字、文字；汉字
（書き）方	（かき）かた	写法、书写方法
反対	はんたい	反对
前もって	まえもって	预先、事先
メール	メール	邮件
送る［に］［を］	おくる	发，送
これから	これから	从现在起
もう一度	もういちど	再次
ぼく	ぼく	我（男子的自称）
（書き）方	（かき）かた	(写）法
ちゃんと	ちゃんと	的确、确凿；好好地
相手	あいて	对方；对手；对象
都合	つごう	情况、状况、方便
確かめる［を］	たしかめる	确认、弄清
それから	それから	其次，以后
頼む［に］［を］	たのむ	请求、委托
申し訳ありません	もうしわけありません	对不起，比「すみません」语气恭敬。
	ドア	门
電気	でんき	电；电灯
つける［を］	つける	点、点燃
消す［を］	けす	关、关上
直す［を］	なおす	修理、修复
貸す［に］［を］	かす	借给、借出
～してくださいませんか	～してくださいませんか	能否请您做……
住所	じゅうしょ	住处、住址
知らせる［に］［を］	しらせる	通知
迎えに来る［を］	むかえにくる	前来迎接
看護師	かんごし	护士的统称。
言う［に］［と］	いう	说、讲
文	ぶん	文、文章；句、句子
覚える［を］	おぼえる	记住、记忆；学会、掌握
旅行客	りょこうきゃく	旅客、旅行者、观光旅客
引く［を］	ひく	查找
返事	へんじ	回答；回信、回复
お金	おかね	钱、金钱
返す［に］［を］	かえす	还、归还
使う［を］	つかう	用、使用
～したいんですが、いいですか	～したいんですが、いいですか	我想做……，可以吗？
たばこ	たばこ	烟、香烟
吸う［を］	すう	吸、吸入
写す［を］	うつす	摄影、拍照
疲れる	つかれる	疲劳、疲惫
働く	はたらく	工作、劳动
どうして	どうして	为什么；怎样、如何。有询问理由和方法两种意思。
なぜ	なぜ	为什么、为何
～から、…	～から、…	因此、所以
眠い	ねむい	困倦的、有睡意的
生活	せいかつ	生活
苦しい	くるしい	痛苦的
結婚	けっこん	结婚
（会社を）休む	（かいしゃを）やすむ	不去公司，休息
下手な	へたな	笨拙的、不高明的
だから	だから	因此、所以
スマホ	スマホ	智能手机
考える	かんがえる	想、思考
右	みぎ	右
左	ひだり	左
