降りる［を］	おりる	(从交通工具上)下来
乗り換える［から］［に］	のりかえる	换乘
～してはいけません	～してはいけません	不可以
ごめんください	ごめんください	对不起，有人吗？恕我告辞。到别人家拜访或者告辞时的问候语
はあい	はあい	应答声
どなた	どなた	谁、哪位
郵便	ゆうびん	邮政、邮件
書留	かきとめ	挂号信
届ける[に]［を］	とどける[に]［を］	送到、送去
はんこ	はんこ	印章、图章
サイン	サイン	签字
（～で）結構です	（～で）けっこうです	……就可以
受験票	じゅけんひょう	准考证
試験問題	しけんもんだい	考试问题、试题
配る[に]［を］	くばる	分发、分配
それでは	それでは	那么、那就
問題用紙	もんだいようし	问卷、考试试卷
置く[に]［を］	おく	放下、放在
解答用紙	かいとうようし	答题纸
数	かず	数目、数量
数える［を］	かぞえる	数数
出る［を］	でる	出来
立つ［を］	たつ	站、站立
退職する［を］	たいしょくする	退休
退院する［を］	たいいんする	出院
卒業する［を］	そつぎょうする	毕业
会場	かいじょう	会场
東京駅	とうきょうえき	东京站
国際線	こくさいせん	国际航班
国内線	こくないせん	国内航班
京都駅	きょうとえき	京都站
～行き	～ゆき	开往……
列車	れっしゃ	列车
神戸行き	こうべゆき	开往神户
かまいません	かまいません	没关系
すぐ	すぐ	立刻、马上
だめです	だめです	不可以、不行
道	みち	道路
たばこ	たばこ	香烟
捨てる[に][を]	すてる	扔、扔掉
ごみ	ごみ	垃圾
欠席	けっせき	缺席
触る[に]	さわる	碰、摸
短い	みじかい	短的
長い	ながい	长的
航空便	こうくうびん	航空邮件，航班
船便	ふなびん	海运，通航
プリンター	プリンター	打印机
データ	データ	数据、资料
