橋	はし	桥
渡る［を］	わたる	渡，过
夜分遅く申し訳ありません	やぶんおそくもうしわけありません	这么晚打扰您了。
あのう	あのう	向人搭话时使用，喂
国際交流	こくさいこうりゅう	国际交流
集い	つどい	会、集会
道順	みちじゅん	路线
まっすぐ	まっすぐ	一直、笔直
～目	～め	第～个、第～号
角	かど	拐角
曲がる[に]	まがる	拐弯，弯曲
左側	ひだりがわ	左侧
近い［から］	ちかい	近、近的
じゃ	じゃ	那么、那就
楽しみにしています	たのしみにしています	我很期待。
おやすみなさい	おやすみなさい	晚安
通る［を］	とおる	通过、走过
車道	しゃどう	车道
走る［を］	はしる	跑，奔驰
左側	ひだりがわ	左侧
歩く［を］	あるく	走，步行
右側	みぎがわ	右侧
歩道	ほどう	人行道
流れる［を］	ながれる	流、流过
谷	たに	山谷
改札口	かいさつぐち	检票口
横断歩道	おうだんほどう	人行横道
歩道橋	ほどうきょう	天桥
道	みち	道路
踏切	ふみきり	（铁路的）岔口、道口
上る［を］	のぼる	上（坡，楼梯）
坂	さか	坡、斜坡
階段	かいだん	楼梯
下りる［を］	おりる	下（坡，楼梯）
散歩する［を］	さんぽする	散步
この辺	このへん	这一带、附近
高速道路	こうそくどうろ	高速公路
飛ぶ［を］	とぶ	飞、飞行
2番目	にばんめ	第二个，第二号
交差点	こうさてん	十字路口
ポスト	ポスト	邮筒
所	ところ	地方
入れる［に］［を］	いれる	放入
動物園	どうぶつえん	动物园
動物	どうぶつ	动物
信号	しんごう	信号
交番	こうばん	派出所
植物園	しょくぶつえん	植物园
論文	ろんぶん	论文
博士号	はかせごう	博士学位
修士号	しゅうしごう	硕士学位
どのように（いくか）	どのように（行くか）	如何去呢，怎么去呢
大使館	たいしかん	大使馆
各駅停車	かくえきていしゃ	慢车
特急	とっきゅう	特快
終点	しゅうてん	终点
ちょうど	ちょうど	正好，整
トンネル	トンネル	隧道
くぐる[を]	くぐる[を]	穿过，潜入
拾う[を]	ひろう	拾、捡
出口	でぐち	出口
警官	けいかん	警察
入口	いりぐち	入口
台所	だいどころ	厨房
庭	にわ	院子，庭院
鳴る	なる	鸣，响
（１か月）前から	（いっかげつ）まえから	从（一个月）前开始
勤める［に］	つとめる	工作、任职
アルバイト	アルバイト	兼职、临时工
アパート	アパート	公寓
住む［に］	すむ	住、住在
通う［に］	かよう	有目的地经常去同一场所，如通勤、上学学等
英会話	えいかいわ	英语会话
学校	がっこう	学校
働く	はたらく	工作、任职
