話	はなし	话，讲话
思う［と］	おもう	想
経済	けいざい	经济
～について	～について	关于……
勉強家	べんきょうか	勤奋学习的人、刻苦的人
学位	がくい	学位
残る［に］	のこる	留、剩下
続ける［つづける］	つづける	继续
しばらく	しばらく	暂时，一会儿
サービス	サービス	服务
調べる	しらべる	调查
いいですよ	いいですよ	可以啊。
まあまあ	まあまあ	还可以
でも	でも	但是
例えば	たとえば	例如
保育園	ほいくえん	托儿所
幼稚園	ようちえん	幼儿园
小学校	しょうがっこう	小学
中学校	ちゅうがっこう	中学
高等学校（高校）	こうとうがっこう（こうこう）	高中
高等専門学校	こうとうせんもんがっこう	高等专科学校
各種専門学校	かくしゅせんもんがっこう	各种专科学校
短期大学（短大）	たんきだいがく（たんだい）	短期大学
4年制大学	よねんせいだいがく	四年制大学
大学院	だいがくいん	研究生院
放送大学	ほうそうだいがく	广播大学
全日制	ぜんにちせい	全日制
定時制	ていじせい	定时制。指高中的夜间部
夜間部	やかんぶ	夜校
通信教育	つうしんきょういく	函授教育
辛い	からい	辣的
景気	けいき	景气
旅行客	りょこうきゃく	旅客
味	あじ	味道
甘い	あまい	甜的
うち	うち	家
危険な	きけんな	危险的
工場見学	こうじょうけんがく	参观工厂
上がる	あがる	上涨，上升
正しい	ただしい	正确
数学	すうがく	数学
だめな	だめな	不行、不可以
すばらしい	すばらしい	极好的、出色的
親切な	しんせつな	亲切的
作文	さくぶん	作文
教育問題	きょういくもんだい	教育问题
人口問題	じんこうもんだい	人口问题
乗り物	のりもの	交通工具
環境問題	かんきょうもんだい	环境问题
暇な	ひまな	空闲，闲暇
つく［が］	つく［が］	（灯）点着，（灯）亮
える［が］	きえる	（灯）灭了
戸	と	门
開く［が］	あく	开
閉まる［が］	しまる	关
降りる［を］	おりる	（从交通工具）下来
動く［が］	うごく	动，活动
止まる［が］	とまる	停止
増える［が］	ふえる	增加
減る［が］	へる	减少
晴れる［が］	はれる	晴天
出る［が］	でる	出，出来，露出
入る［が］	はいる	进，进入
赤ん坊	あかんぼう	婴儿
泣く	なく	哭
気温	きおん	气温
上がる［が］	あがる	上升
下がる［が］	さがる	下降
冷やす［を］	ひやす	使……凉、冰镇
温める［を］	あたためる	加热
上げる［を］	あげる	举、抬
下げる［を］	さげる	放下、降低
予習	よしゅう	预习
復習	ふくしゅう	复习
合図	あいず	信号，暗号
始める［を］	はじめる	开始
さます［を］	さます［を］	放凉、弄凉
