電子マネー	でんしマネー	电子货币、数字货币
入れる	いれるcharge	装进、放进、容纳；插入、添加
～前に	～まえに	……之前、……以前
～後（で）	～あと（で）	……之后、……以后
Suica	スイカ	由JR东日本发行的交通IC卡，又叫企鹅卡。
じゃ	じゃ	那么
押す[を]	おす	推、挤，压、按、摁
なくなる[が]	なくなる	尽、完，死、离世
チャージ	チャージcharge	充值，充电，费用
方法	ほうほう	方法、办法
表	おもて	正面，表面，门外、门前
向ける［に］[を]	むける	朝、面对、指向
矢印	やじるし	箭头、箭形符号
～の方	～のほう	……的方向
表	おもて	正面，表面
ピーピー	ピーピー	拟声词（磁卡感应时的声音）
音	おと	声响、声音
終了	しゅうりょう	终了、结束，门外、门前
入れる［に］[を]	いれる	
茶わん	ちゃわん	碗，茶杯
はる［に］[を]	はる	贴、贴上，粘，糊
付箋	ふせん	浮签、纸标签
置く［に］[を]	おく	放，置，搁
花瓶	かびん	花瓶
並べる［に］[を]	ならべる	排列，摆
本棚	ほんだな	书架，书橱
掛ける［に］[を]	かける	挂上，悬挂，戴上，盖上
壁	かべ	墙、墙壁
カレンダー	カレンダーcalender	挂历、日历
のせる［に］[を]	のせる	装载，放上去，刊载
つける［に］[を]	つける	浸，泡，浸泡
止める［に］[を]	とめる	停，停止，关闭
申込書	もうしこみしょ	申请书
駐車場	ちゅうしゃじょう	停车场
ポケット	ポケットpocket	口袋
ハンカチ	ハンカチhandkerchief	手绢、手帕
ハンドバッグ	ハンドバッグhandbag	手提包
スーツケース	スーツケースsuitcase	旅行箱
外す［から］[を]	はずす	取下，摘下
壁	かべ	墙壁
下ろす［から］[を]	おろす	拿下，放下，卸下
取る［から］[を]	とる	取，取得，获得
その前に	そのまえに	在那之前、在那以前
受ける[を]	うける	接受
準備する[を]	じゅんびする	准备
留学	りゅうがく	留学
決める[を]	きめる	决定
行き先	ゆきさき	目的地、去的地方
渡す［に］[を]	わたす	交、递交，交给，摆渡
（電話を）かける［に］	かける	打电话
断る[を]	ことわる	拒绝、回绝，推辞
準備運動	じゅんびうんどう	准备运动
合格	ごうかく	及格、合格
カラオケ	カラオケ	卡拉OK
起こる[が]	おこる	发生
