鉄	てつ	铁
米	こめ	米、大米
酒	さけ	酒，（有时专指）日本酒
計算	けいさん	计算，预料、考虑
少しずつ	すこしずつ	慢慢地、一点儿一点儿地
ゲーム	ゲーム	比赛，游戏
同点	どうてん	相同分数、同分
1番	いちばん	第一，一号
まあ	まあ	哎呀、嗯
じゃんけん	じゃんけん	猜拳、猜猜猜，划拳
簡単な	かんたんな	简单、容易，简便
きれ	きれ	布匹，布料，布头
はさみ	はさみ	剪刀
かなづち	かなづち	锤子，铁锤
順番	じゅんばん	顺序、次序、先后
違う［と］	ちがう	不同、不一致，错、不对
たいてい	たいてい	大抵、大都、大部分，表示“频率高，十有八九”。
あみだくじ	あみだくじ	日本式的抽签
力	ちから	力量、力气，能力
アクセル	アクセルaccelerator	油门、加速器
踏む［を］	ふむ	踩，踏，蹬
だんだん	だんだん	渐渐、逐渐
スピード	スピードspeed	速度
どんどん	どんどん	迅速地，接连不断地。表示“迅速变化”“接连不断”
ハンドル	ハンドルhandle	方向盘
持つ［を］	もつ	握、拿，拥有、具有
これから	これから	现在、这会儿，以后、今后
坂	さか	坡、斜坡
下りる［を］	おりる	（从高处）下来、下（坡），降下
疲れる	つかれる	累、疲劳
これで終わりにしましょう	これで終わりにしましょう	到这儿结束
お疲れ様でした	おつかれさまでした	您辛苦了，您受累了（完成工作时的寒暄语。）
刀	かたな	刀，大刀
ナイロン	ナイロンnylon	尼龙（一种合成纤维）
革	かわ	皮革
金	きん	金
銀	ぎん	银
指輪	ゆびわ	戒指
銅	どう	铜
なべ	なべ	锅，火锅
ステンレス	ステンレスstainless-steel	不锈钢
ナイフ	ナイフknife	餐刀，小刀
フォーク	フォークfork	叉子
竹	たけ	竹子
箸	はし	筷子
ガラス	ガラスglass	玻璃
プラスチック	プラスチックplastic	塑料
スプーン	スプーンspoon	汤匙、调羹
羽	はね	羽毛
ふとん	ふとん	被、被子
羊	ひつじ	羊
毛	け	毛，头发
帽子	ぼうし	帽子
木綿	もめん	棉线、布，棉制品
絹	きぬ	丝绸、绸子
スカーフ	スカーフscarf	围巾，头巾
石油	せきゆ	石油
麦	むぎ	麦、麦子
豆	まめ	豆，大豆，黄豆
油	あぶら	油
ぶどう	ぶどう	葡萄
ワイン	ワインwine	葡萄酒
ジャム	ジャムjam	果酱
しょうゆ	しょうゆ	酱油
味噌	みそ	酱，豆酱
チーズ	チーズcheese	奶酪
バター	バターbutter	黄油
ヨーグルト	ヨーグルトyogurt	酸奶
知らせる［に］［を］	しらせる	通知、告诉
引く［を］	ひく	查、查找（字典等）
筆	ふで	毛笔，笔
のり	のり	浆糊
板	いた	板（木板、石板、金属板等）
せっけん	せっけん	肥皂
氷	こおり	冰，冰块
傘	かさ	伞，雨伞，阳伞
さす［を］	さす	打（伞）
日光	にっこう	太阳光、日光
連絡	れんらく	联络、联系，通知
腕	うで	腕、手腕，技术
組む［を］	くむ	交叉在一起，交叠在一起
横になる	よこになる	躺下，横卧
がんばる	がんばる	加油，努力
運転する［を］	うんてんする	驾驶、开动，操纵
座る［に］	すわる	坐，坐上（职位）
繰り返す［を］	くりかえす	反复、重复
化粧	けしょう	化妆
鏡	かがみ	镜子
（かぎを）かける	かける	上（锁）
外出	がいしゅつ	外出、出门
体重	たいじゅう	体重
味	あじ	味儿、味道
薄い	うすい	（味道）淡，（颜色）浅
半分	はんぶん	一半
2倍	にばい	两倍
7割	ななわり	七成、70%
なくす［を］	なくす	消灭，丢失、丢掉
ゼロ	ゼロzero	零
増やす［を］	ふやす	增加、增添
材料	ざいりょう	原料、材料
冷える［が］	ひえる	变冷，变凉，感觉冷
温かい	あたたかい	热乎乎，温暖、暖和
温まる［が］	あたたまる	（身体、饭菜、房间等）变暖、变热
枝	えだ	树枝
折れる［が］	おれる	折、断
上がる［が］	あがる	上升，涨
下がる［が］	さがる	降低，降价
糸	いと	线，丝，弦
切れる［が］	きれる	断、断开，中断、断绝
割れる［が］	われる	碎、破碎，裂、裂开
片付く［が］	かたづく	整理、收拾
みんなで	みんなで	大家一起，大家一同
～ずつ	（ひとり）ずつ	均等比例，均等反复（参考文型9、10）
一度に	いちどに	同时、一下子
集める［を］	あつめる	收集，集合、召集
作文	さくぶん	作文
割合	わりあい	比例、比率
伸びる［が］	のびる	长高、长大
半日	はんにち	半天
１部屋	ひとへや	一个房间
窓ガラス	まどガラス	窗玻璃
