会	かい	会、会议
知る	しる	知道，认识，懂得
お皿	おさら	盘子、碟子
テーブル	テーブルtable	饭桌、餐桌，桌子
のる［が］	のる	放（物体放于他物表面），载、刊登
ケーキ	ケーキcake	蛋糕，西式点心
残る［が］	のこる	剩余、残留，留下
もう1つ	もうひとつ	另一个，还有一个
しかたがない	しかたがない	没有办法，迫不得已
用意	ようい	准备、预备
（もう少し）いかがですか	いかがですか	（再来一点）怎么样？（却他人吃喝时的说法）
後で	あとで	之后、随后
ちょっと伺いますが	ちょっとうかがいますが	我问一下，我打听一下
えーと	えーと	啊，哎呀
上着［を］	うわぎ	上衣
着る［を］	きる	穿
眼鏡	めがね	眼镜
かける［を］	かける	戴（眼镜），扣（纽扣）
コート	コートcoat	大衣，雨衣
着物	きもの	和服，衣服
脱ぐ［を］	ぬぐ	脱、脱下、脱掉
ズボン	ズボン	裤子，西服裤
スカート	スカートskirt	裙、裙子
スリッパ	スリッパslippers	拖鞋
サンダル	サンダルsandals	凉鞋
ぞうり	ぞうり	草屐、草鞋，穿和服时穿的鞋子
履く［を］	はく	穿（下半身衣服和鞋袜）
サングラス	サングラスsunglasses	墨镜、太阳镜
外す［を］	はずす	摘下（眼镜、戒指），解开（纽扣），离开
ネクタイ	ネクタイnecktie	领带
ベルト	ベルトbelt	腰带、皮带
締める［を］	しめる	系（领带、腰带、安全带等），结
取る［を］	とる	摘掉、取下
かぶる［を］	かぶる	戴。指戴在头上
腕時計	うでどけい	手表
手袋	てぶくろ	手套
はめる［を］	はめる	戴（戒指、手套、手表等）
する［を］	する	戴（戒指、手套、手表），系（领带等）
ネクタイピン	ネクタイピンnecktie-pin	领带夹
ヘアピン	ヘアピンhairpin	发夹、发卡
ブローチ	ブローチbrooch	胸针、别针
とめる	とめる	停，停止，关闭（断，停泊，停止）
巻く［を］	まく	卷，围
大風	おおかぜ	大风
吹く［が］	ふく	刮，吹
倒れる［が］	たおれる	倒，塌
それで	それで	因此、所以
大雨	おおあめ	大雨
雷	かみなり	雷
落ちる［が］	おちる	(雷、钱包等从高处往低处的移动）落下、掉下，减（速）
電気	でんき	电、电气，电灯
年を）取る	とる	上（年纪）
破れる［が］	やぶれる	破、破损，被打破、被破坏，破裂
スーツ	スーツsuits	套装，西装
分かれる［が］	わかれる	分成、分、划分，分别、离别
人数	にんずう	人数
門	もん	门、大门
さっき	さっき	刚刚、刚才
下着	したぎ	内衣，衬衣裤
オーバー	オーバーovercoat	大衣，外套。指到膝盖下的大衣、外套
ワイシャツ	ワイシャツY-shirt	衬衫
コンタクトレンズ	コンタクトレンズcontact-lens	隐形眼镜
咲く［が］	さく	（花）开
（～日）前	まえ	之前、前
晴れる［が］	はれる	晴天、晴
光	ひかり	光，光线
壊れる［が］	こわれる	破碎、毁坏，（机器等）失灵、出毛病，坏、破
とれる［が］	とれる	掉、脱落
御飯	ごはん	饭，米饭
できる［が］	できる	完成、做好
信号	しんごう	信号
ボタン	ボタン	扣子、纽扣，按钮
とれる［が］	とれる	掉、脱落
もう	もう	已经，另外、还、再
まだ	まだ	尚、还、未
場所	ばしょ	场所
焼く［を］	やく	烤、烧，焚烧
焼ける［が］	やける	烤好、烤熟，烧毁、烧掉，晒黑
建つ［が］	たつ	建造、盖
混ぜる［を］	まぜる	混合、掺，搅拌、拌和
混ざる［が］	まざる	混杂、掺杂
分ける［を］	わける	分、分开，分配，分类
分かれる［が］	わかれる	分成、分、划分，分别、离别
かける［を］	かける	打（电话）
かかる［が］	かかる	挂（电话）、来（电话）
変える［を］	かえる	改变、变更、更改、变动
変わる［が］	かわる	变、变化、改变
なくす［を］	なくす	丢失、丢掉，消灭
なくなる［が］	なくなる	尽、完，死、离世
続ける［を］	つづける	继续、连续、接连
終える［を］	おえる	结束、完成
終わる［が］/［を］	おわる	完了、终了、结束
