～時	とき	……时候
～ながら	（のみ）ながら	一边……一边……
上手な	じょうずな	好、高明、巧、棒
（食事）中	（しょくじ）ちゅう	正在（吃饭）
ハードディスク	ハードディスクhard-disk	硬盘
鳴る［が］	なる	响、鸣
マニュアル	マニュアルmanual	说明书、指南、手册
充電	じゅうでん	充电
なんだ	なんだ	什么、什么呀
動かす［を］	うごかす	挪动、搬动、移动
研究費	けんきゅうひ	研究
申請書	しんせいしょ	申请书
ずいぶん	ずいぶん	很、相当
丁寧な	ていねいな	认真、细致，恭敬、礼貌
どうもすみません	どうもすみません	对不起，谢谢
まあ	まあ	哎呀
一生懸命	いっしょうけんめい	拼命地
さあ	さあ	来呀、喂。表示劝诱或催促
せーのー	せーのー	一、二、三。指很多人一起抬、推、拉很重的东西时的吆喝声。
よいしょ	よいしょ	嗨哟。指抬、推、拉重物时大伙的吆喝声。一个人也可以使用。
助かる	たすかる	帮忙、帮助；得救、脱险、省力；有帮助
学生証	がくせいしょう	学生证
説明	せつめい	说明
渡す［を］	わたす	交、交付
注意	ちゅうい	注意、小心
録音	ろくおん	录音
お早うございます	おはようございます	早上好
おやすみなさい	おやすみなさい	晚安
今晩は	こんばんは	晚上好
昼間	ひるま	白天
今日は	こんにちは	你好
パジャマ	パジャマpajamas	睡衣
（音が）出る	でる	有声音、有响声
（おなかを）こわす	こわす	（吃了不好的东西）坏（肚子）
専攻	せんこう	专业
受け取る［から］［を］	うけとる	接、收、领；领会
ごちそう	ごちそう	盛情款待、招待；酒席
けがをする	けがをする	受伤
安心	あんしん	安心、放心
見送る［を］	みおくる	送、送行
お別れ会	おわかれかい	告别会、欢送会
準備	じゅんび	准备
講義	こうぎ	讲课、讲授
振る［を］	ふる	摇、摆；撤、掷；标注
お湯	おゆ	热水、开水
踊る	おどる	跳舞
通う［に／へ］	かよう	来往、通行。指定期来往于确定的场所
礼	れい	道谢
自由な	じゆうな	自由
乱暴な	らんぼうな	粗鲁、粗暴、粗野；潦草、胡乱
特別な	とくべつな	特别
会議	かいぎ	会议
道路	どうろ	道路
使用	しよう	使用
聞き取る［を］	ききとる	听懂
