日本間	にほんま	日本间、和室
畳	たたみ	榻榻米
敷く［に］［を］	しく	铺；垫；铺设
大きさ	おおきさ	大小
縦	たて	纵、竖
横	よこ	横、旁边
8畳間	はちじょうま	用榻榻米的块数表示房间大小的说法，畳２枚=3.3m*m
何畳間	なんじょうま	几坪房间
すぐ	すぐ	马上
へえ	へえ	"啊,是啊"
表	おもて	面儿、正面；表面、外表、外观；屋外
イグサ	イグサ	蔺草（做榻榻米用的草）
草	くさ	草、小草
実は	じつは	"说真的,老实说,其实（说出难以启齿的事或实话时使用的话头）"
最終的な	さいしゅうてきな	最终的
生きる	いきる	生存、活着
人生	じんせい	人生
目的	もくてき	目的
努力家	どりょくか	勤奋的人
心配をかける	しんぱいをかける	让人担心、让人挂念
きっと	きっと	一定、必定
ストーブ	ストーブstove	炉子、暖炉
灰皿	はいざら	烟灰缸
灰	はい	灰、烟灰
鏡	かがみ	镜子
味	あじ	味、味道、滋味
つける［に］［を］	つける	抹上、涂上、蘸上
守る［を］	まもる	遵守、恪守；保卫
布	ぬの	布
ふく［を］	ふく	擦、抹、揩
集会	しゅうかい	集会
専門	せんもん	专业
努力	どりょく	努力
用意	ようい	准备、预备
器具	きぐ	器具、器械
ためる［を］	ためる	积、存、蓄、储
恋人	こいびと	恋人
制度	せいど	制度
社会	しゃかい	社会
国	くに	国家
健康	けんこう	健康
ボランティア活動	ボランティアかつどうvolunteer	志愿者活动
オリンピック	オリンピックOlympic	奥运会
交流	こうりゅう	交流
世界	せかい	世界
お正月	おしょうがつ	春节、新年
カーテン	カーテンcurtain	窗帘
昼御飯	ひるごはん	午饭
エアコン	エアコンair-conditioner	空调
重ねる［に］［を］	かさねる	重叠堆放、摞；再加上、盖上、穿上
食器	しょっき	餐具
秘密	ひみつ	秘密
野菜	やさい	蔬菜
いためる［を］	いためる	炒、煎、爆
沸かす［を］	わかす	烧开、烧热
そろえる［を］	そろえる	使一致；凑齐、备齐
毛布	もうふ	毛毯、毯子
裏	うら	背面；后边
自動ドア	じどうドアdoor	自动门
倒す［を］	たおす	放倒、推倒；推翻
ロープ	ロープrope	绳索、绳缆
大雪	おおゆき	大雪
温度	おんど	温度
