発音	はつおん	发音
難しい	むずかしい	难的
文法	ぶんぽう	语法
新しい	あたらしい	新的
いくら	いくら	多少钱
お茶	おちゃ	茶
を下さい	をください	请给我
どんな	どんな	什么样的、怎样的
どう	どう	怎么样
そして	そして	而且、还
大きい	おおきい	大的
高い	たかい	高的；贵的
よ	よ	よ
そば	そば	荞麦面条
うどん	うどん	面条
カレー	カレー	咖喱
牛丼	ぎゅうどん	牛肉盖浇饭
おいしい	おいしい	好吃
の	の	の
円	えん	日元
ちょっと	ちょっと	稍微、一点儿
安い	やすい	便宜
どうですか	どうですか	怎么样
良くない	よくない	不好
料理	りょうり	菜、料理
悪い	わるい	不好
小さい	ちいさい	小的
古い	ふるい	旧的
明るい	あかるい	明亮、开朗
暗い	くらい	暗、黑暗
黄色い	きいろい	黄色的
赤い	あかい	红的
白い	しろい	白色的
黒い	くろい	黑色的
青い	あおい	蓝的，青色
易しい	やさしい	简单
問題	もんだい	问题
安い	やすい	便宜
紙	かみ	纸张
りんご	りんご	苹果
まずい	まずい	不好吃的
低い	ひくい	低的、矮的
勉強	べんきょう	学习、读书、努力
とても	とても	很、非常
魚	さかな	鱼
番	ばん	号
レストラン	レストラン	西餐厅
パン	パン	面包
牛乳	ぎゅうにゅう	牛奶
ギター	ギター	吉他
