撮影	さつえい	摄影、照相
欲しい［が］	ほしい	想要、要；希望
要る	いる	需要、必要
まだ（～ある）	まだ	尚、还、仍
もう（～ない）	もう	已经
（少し）しか～ない	（すこし）しか	只、仅仅
10杯も	じっぱいも/じゅっぱいも	10杯（之多）
合格発表	ごうかくはっぴょう	录取通知、发榜
インターネット	インターネットinternet	因特网
あ	あ	啊
おめでとうございます	おめでとうございます	恭喜
おかげで	おかげで	谢谢、多谢、托…的福、幸亏
合格	ごうかく	合格
本当に	ほんとうに	实在、的确
テーマ	テーマtheme	题目、中心思想、主题
提出	ていしゅつ	提出、提交
締め切り	しめきり	截止日期、期限
あと	あと	以后、再过…
間に合う［に］	まにあう	赶得上、来得及
うらやましい	うらやましい	羡慕
いやあ	いやあ	哎呀
～けど	～けど	虽然…但
恥ずかしい	はずかしい	害羞、不好意思、难为情
えーっ	えーっ	见文型
もちろん	もちろん	当然、不用说
とんでもない	とんでもない	哪里的话、不客气、不用谢
少し	すこし	有点、些、稍微
全然（～ない）	ぜんぜん	完全、根本、一点儿（也没有）
水泳	すいえい	游泳
あまり（～ない）	あまり	不太…、不怎么…
ほとんど（～ない）	ほとんど	大部分、几乎
禁止	きんし	禁止
海岸	かいがん	海岸
駅前	えきまえ	站前、车站附近
駐車	ちゅうしゃ	停车
コピー	コピーcopy	复印、拷贝
眠い	ねむい	困、困倦
我慢	がまん	忍耐、忍受、自制
暗記	あんき	熟记、背、背诵
生活	せいかつ	生活
楽しい	たのしい	快乐、愉快
かわいい	かわいい	讨人喜欢、可爱
心配な	しんぱいな	担心
怖い	こわい	可怕、令人害怕、吓
つらい	つらい	苦、痛苦、艰苦
懐かしい	なつかしい	怀念、眷恋
ミス	ミスmistake	失误、错误、差错
残念な	ざんねんな	遗憾、可惜
いやな	いやな	不喜欢、讨厌
退屈な	たいくつな	无聊、寂寞、厌倦
必要な	ひつような	必要、需要
免許証	めんきょしょう	许可证、执照
卒業証明書	そつぎょうしょうめいしょ	毕业证
商品	しょうひん	商品
売る［を］	うる	卖
とれる［が］	とれる	能收获、能生产
柿	かき	柿子
実	み	果实
足りる［が］	たりる	足、够
長い間	ながいあいだ	长期、长时间
たった	たった	只、仅
十分	じゅうぶん	十分、充分、足够
～ぐらい	～ぐらい	大约、大致、左右
もっと	もっと	更、进一步、再稍微
半日	はんにち	半天
ほか	ほか	此外、另外、其他
各駅停車	かくえきていしゃ	各站停车、慢车
科目	かもく	科目
外国製品	がいこくせいひん	外国制品
国産品	こくさんひん	国产品
ロシア	ロシアRussia	俄罗斯
こと	こと	事、事情、工作
生活費	せいかつひ	生活费
奨学金	しょうがくきん	奖学金
