（話せる）ようになる	はなせるようになる	能说、能讲	
（始まって）から	（はじまって）から	开始之后	
(1時間）たつ	（いちじかん）たつ	经过、时间流逝、过去	
友人	ゆうじん	友人、朋友	
先行研究	せんこうけんきゅう	先行研究	
サイニー	サイニー	日本学术论文搜索网	
サイト	サイト site	网址；位置	
入力する[を]	にゅうりょくする	输入，计算机用语，将信息和数据等输入存储器。	
検索する[を]	けんさくする	检索	
大文字	おおもじ	大写字母、大写	
小文字	こもじ	小写字母、小写	
すごい	すごい	出色的、了不起的；可怕的、惊人的	
同期	どうき	同一届、同年级，同年入学、毕业或进单位的人。	
借りる[から／に]［を］	かりる	借、借用	
係員	かかりいん	工作人员	
研究生	けんきゅうせい	研究生；一段时间内，在大学或专科学校等机构就某一领域课题进行研究的人。	
詳しい	くわしい	详细的；对某一领域精通的	
働く	はたらく	工作、劳动	
すし	すし　すし	寿司	
持ち込む［に］[を]	もちこむ　もちこむ	携入、拿进	
見学者	けんがくしゃ	参观者	
カタカナ	カタカナ	片假名	
寂しい	さびしい	孤独、寂寞	
パスワード	パスワード password	密码、口令	
思い出す［を］	おもいだす	回忆、想起	
幸せな	しあわせな	幸福的	
信じる［を］	しんじる	相信	
聴き取る［を］	ききとる	听懂；听取	
遅れる［に］	おくれる	迟到、晚；落后；慢	
女性	じょせい	女性	
おなか	おなか	肚子、腹	
壊す［を］	こわす	弄坏、破坏；损伤	
故障	こしょう	故障	
うそ	うそ	谎言	
（うそを）つく	（うそを）つく	说谎、撒谎	
点	てん	点、方面、部分、处	
気がつく［に］	きがつく	发现、察觉	
ごみ	ごみ	垃圾	
リサイクルする	リサイクルする	废品再利用	
兄弟げんか	きょうだいげんか	兄弟吵架	
高速道路	こうそくどうろ	高速道路	
事故	じこ	事故	
起こる	おこる	发生	
ずっと	ずっと	一直、始终	
眠る	ねむる	睡、睡觉	
黙る	だまる	沉默、不说话	
生まれる	うまれる	出生、诞生	
散る	ちる	凋谢、落；分散	
指導	しどう	指导	
受ける[から／に]［を］	うける	接受（指导）	
長春	ちょうしゅん	长春	
準備	じゅんび	准备	
客	きゃく	客人	
理由	りゆう	理由	
手続き	てつづき	手续	
通知	つうち	通知	
林	はやし	小林、林（姓）	
後輩	こうはい	低年级学生或泛指比自己晚进学校或参加工作的人	
同級生	どうきゅうせい	同班同学、同年级同学	
太郎（人名）	たろう	太郎（人名）	
東京大学	とうきょうだいがく	东京大学	
母校	ぼこう	母校	
アメリカ	アメリカ America	美国	
スミス	スミス Smith	史密斯（人名）	
母国	ぼこく	祖国	
