背	せ	脊背、背
～ほど～ない	～ほど～ない	没有…多（高），比较句的否定式
～やすい	～やすい	容易做、好做，容易变成
～にくい	～にくい	不容易…、难…
傷む	いたむ	损坏，食物腐烂
科研費	かけんひ	科研经费
研究者	けんきゅうしゃ	研究者
申請	しんせい	申请
審査	しんさ	审查
関係がある	かんけいがある	有关系
実験装置	じっけんそうち	试验装置
使い方	つかいかた	使用方法
本当でしね	ほんとうでしね	是真的、的确如此
色	いろ	颜色
濁る	にごる	浑浊
これで	これで	这样，因此，用这个
進める	すすめる	进行、推进、使…有进展
太る	ふとる	肥胖、丰满
痩せる	やせる	瘦
厳しい	きびしい	严厉、严格
優しい	やさしい	慈祥的、温和的、善良的
栄養	えいよう	营养
吉林市	きつりんし	吉林市
得意な	とくいな	拿手、擅长
ふだん	ふだん	平时、平常
利用する	りようする	利用
～度	～ど	～度
気温	きおん	气温
最高気温	さいこうきおん	最高气温
最低気温	さいていきおん	最低气温
２割	にわり	2成
%	パーセント	百分之~
インド	インド	印度
インドネシア	インドネシア	印度尼西亚
熱心な	ねっしんな	热心的、热情的
バイク	バイク	摩托车
起こす	おこす	引起、发生
旗	はた	旗帜、旗
姿	すがた	姿势、姿态
美しい	うつくしい	美丽
金属	きんぞく	金属
さびる	さびる	生锈
澄む	すむ	澄清、清澈
技術	ぎじゅつ	技术
進む	すすむ	（技术）先进
乾く	かわく	干燥
 曲がる	まがる	弯曲
生	なま	生的、未经烧、煮熟的（食物）、半生不熟
