私たち	わたくしたち	我们	
科学者	かがくしゃ　かがくしゃ	科学家	
留年	りゅうねん	留级	
在学期間	ざいがくきかん	求学期间、上学期间	
延ばす[を]	のばす	延长、延期	
シンガポール	シンガポール	新加坡	
で、	で、	那么；所以	
でも	でも	可是	
鈴木	すずき	铃木(人名）	
小学生	しょうがくせい	小学生	
教育	きょういく	教育	
日本人学校	にほんじんがっこう	日本人学校。指在日本以外的地区，为日本的海外子女开设的中小学教育机构。	
ファーストフード	ファーストフード　fast food	快餐	
何になさいますか	なにになさいますか	您想要些什么，您想点什么	
Ａセット	エーセット　A set	A套餐	
お飲み物	おのみもの	饮料	
アイスコーヒー	アイスコーヒー ice coffee	冰咖啡	
ハンバーガー	ハンバーガー hamburger	汉堡包	
お持ち帰り	おもちかえり	带走、打包	
店内	てんない	店内	
お召し上がり	おめしあがり	吃、喝	
ご注文	ごちゅうもん	（您的）预定、订购；希望、要求	
引っ越し	ひっこし	搬家	
週末	しゅうまつ	周末	
国内旅行	こくないりょこう	国内旅行	
海外旅行	かいがいりょこう	海外旅行	
節約する［を］	せつやくする	节约	
～のために	～のために	为了	
デザート	デザート dessert	(西餐正餐后的)甜点、水果	
アイスクリーム	アイスクリーム ice cream	冰淇淋	
チョコレート	"チョコレート chocolate,"	巧克力	
昼ご飯	ひるごはん	午饭	
司会	しかい	主持人	
電話料金	でんわりょうきん	通话费	
在留期間	ざいりゅうきかん	在留期间、逗留期间	
延長する［を］	えんちょうする	延长、延期	
原因	げんいん	原因	
全員	ぜんいん	全员、全体	
高校生	こうこうせい	高中生	
運動会	うんどうかい	运动会	
中止	ちゅうし	停止、中止	
件	けん	事情、事件	
開く	ひらく	召开、进行。33课中的「お開きになる」表示散会、散席。	
訓練	くんれん	训练	
素直な	すなおな	坦率、天真	
わがままな	わがままな	天真、任性	
病弱な	びょうじゃくな	虚弱的，病弱的	
問題点	もんだいてん	问题点	
立派な	りっぱな	出色、优秀	
神社	じんじゃ	神社	
希望	きぼう	希望、期望	
役割	やくわり　やくわり	作用	
参加者	さんかしゃ	参加者	
まとめる［を］	まとめる	总结、归纳	
旅券	りょけん	护照	
新年	しんねん	新年	
お祝い	おいわい	祝贺	
期間	きかん　きかん	期间	
旧暦	きゅうれき	农历	
五輪	ごりん	五环、象征五大洲的奥林匹克；五轮	
農薬	のうやく	农药	
害虫	がいちゅう	害虫	
防ぐ［を］	ふせぐ	预防、防备；防御	
農作物	のうさくぶつ	农作物	
正三角形	せいさんかっけい	正三角形	
等しい	ひとしい	相等	
コーパス	コーパス corpus	语言资料库	
大量	たいりょう	大量	
言語	げんご	言语、语言	
サボる［を］	"サボる sabortage, "	逃课、偷懒、旷工	
怠ける［を］	なまける	懒惰、怠惰	
花見	はなみ	赏花	
省エネ	しょうエネ	节约能源	
エネルギー	エネルギー　エネルギーenergy	能源、能量	
泊まる[に]	とまる	住宿	
			
			
			
