（働き）すぎ	はたらきすぎ	为了
あのー	あのー	喂
～んです	どうしたんですか	怎么了
いけませんね	いけませんね	（表示同情、歉意）糟糕、遗憾
検査	けんさ	检查
心配ですね	しんぱいですね	担心、不安；操心、费心
お大事に	おだいじに	爱护、保重
それで	それで	因此
汚れる[が］	よごれる	脏、弄脏
揺れる[が］	ゆれる	摇晃、摇
気分	きぶん	心情
はやる[が］	はやる	（疾病等）流行、蔓延；流行、时兴
うがい	うがい	漱口
慣れる［に］	なれる	习惯
不安な	ふあんな	不安、担心
急な	きゅうな	紧急；陡峭
緩やかな	ゆるやかな	缓缓、缓慢
いい加減な	いいかげんな	不负责任的、含糊的
製品	せいひん	制品、产品
胃	い	胃
吐く	はく	吐、吐出
流れ	ながれ	水流；流动
引き返す	ひきかえす	返回、折回
正直な	しょうじきな	正直的、直率的
受かる	うかる	考上
酔う	よう	醉；晕
カタログ	カタログ	"catalogue,商品目录、商品说明书"
電子辞書	でんしじしょ	电子字典
キャンプ	キャンプ	野营
食料品	しょくりょうひん	食品
（机に）向かう	（つくえに）むかう	朝向、面向（桌子）
面接試験	めんせつしけん	当面面试
親しい	したしい	亲近、亲密
うまい	うまい	巧妙、高明
注射	ちゅうしゃ	打针、注射
(道が）込む	（みちが）こむ	（道路）拥挤
工事	こうじ	工事、工程
目覚まし時計	めざましどけい	闹钟、闹表
火山活動	かざんかつどう	火上活动、火山喷发
活発な	かっぱつな	活泼的；活跃的
普通	ふつう	一般、通常
塩	しお	盐
		
		
		
		
