毎朝	まいあさ	明天早上
新聞	しんぶん	报纸
読みます	よみます	读
吸いません	すいません	不吸
国	くに	国家
今	いま	现在
何時	なんじ	几点
いただきます	いただきます	我要吃了
毎日	まいにち	每天
食べます	たべます	吃
時々	ときどき	时常、总是
こんにちは	こんにちは	你好
どなた	どなた	哪位
隣	となり	邻居、旁边
オリエンテーション	オリエンテーション	新生入学说明会
ごちそうさまでした	ごちそうさまでした	承蒙款待了、我吃饱了
見ます	みます	看
聞きます	ききます	听、询问
音楽	おんがく	音乐
 書きます	かきます	写
字	じ	字
ひらがな	ひらがな	平假名
カタカナ	カタカナ	片假名
手紙	てがみ	信件
スポーツ	スポーツ	运动
します	します	做
ピンポン	ピンポン	乒乓球
サッカー	サッカー	足球
バドミントン	バドミントン	羽毛球
テニス	テニス	网球
スキー	スキー	滑雪
スケート	スケート	滑冰
ロシア語	ロシアご	俄语
読みます	よみます	读
飲みます	のみます	喝
コーヒー	コーヒー	咖啡
紅茶	こうちゃ	红茶
ジュース	ジュース	果汁儿
ご飯	ごはん	饭
バナナ	バナナ	香蕉
たばこ	たばこ	香烟
お酒	おさけ	酒
夜	よる	夜晚
朝	あさ	早晨
昼	ひる	白天、中午
夕方	ゆうがた	傍晚
ビール	ビール	啤酒
ＣＤ	シーデイー	CD
物理	ぶつり	物理
映画	えいが	电影
自動車	じどうしゃ	汽车
韓国	かんこく	韩国
半	はん	半
結構です	けっこうです	不用、足够。
