進む	すすむ	进（大学）、上（大学）
学ぶ	まなぶ	学习
とる	とる	取得
任せる	まかせる	委托、托付、任凭
よける	よける	避开、躲避
逃げる	にげる	逃、逃跑
蹴る	ける	踢
付き合う	つきあう	交往、交际
申し込む	もうしこむ	申请
飛び込む	とびこむ	跳入、跳进
盗む	ぬすむ	偷盗、盗窃
向かう	むかう	往、去
切る	きる	急转（方向盘）
世話になる	せわになる	受照顾、蒙~的照顾
工夫	くふう	想办法、动脑筋
決心	けっしん	决心
貯金	ちょきん	存款、储蓄
就職	しゅうしょく	就业
進学	しんがく	升学
一周	いっしゅう	一周、一圈
政府	せいふ	政府
民間	みんかん	民间
企業	きぎょう	企业
港	みなと	港口、码头
教習所	きょうしゅうじょ	汽车驾驶学校
対向車	たいこうしゃ	对头车、对开车
運転免許	うんてんめんきょ	驾驶执照
網	あみ	网
お姑さん	おかあさん/おしゅうとめさん	妈妈（婆婆）
奴	やつ	人、家伙
公務員	こうむいん	公务员
研究者	けんきゅうしゃ	研究者
鼠	ねずみ	老鼠
将来	しょうらい	将来
望み	のぞみ	期望、愿望
知識	ちしき	知识
様子	ようす	样子、表情、情况
理想的な	りそうてきな	理想的
気楽な	きらくな	轻松、随便
できるだけ	できるだけ	尽量、尽可能
結局	けっきょく	结局、结果
まさか	まさか	难道...吗？
まったく(ひどい)	まったく	真可恨
投げ込む	なげこむ	扔入、投入
許す	ゆるす	宽恕、饶恕
通学	つうがく	上学、走读
若葉マーク	わかばマーク	新叶标志
（お）一人	ひとり	您一个人
うろうろ	うろうろ	徘徊、溜达
あれ？	あれ？	哎呀
