上がる	あがる	（成绩）提高
下がる	さがる	（成绩）下降
余る	あまる	剩、余
当たる	あたる	晒（太阳）
迷う	まよう	迷（路）
蒔く	まく	播、播种、撒
刈る	かる	割；剃、剪
耕す	たがやす	耕、耕种
育つ	そだつ	成长、长大；长进
移る	うつる	移、搬
浮かぶ	うかぶ	漂、浮；浮现、显露
届く	とどく	到达；达、达到
積み込む	つみこむ	装载
出す	だす	开（店铺）
売れる	うれる	好卖、畅销；卖出去；出名、有名
掛ける	かける	坐（椅子）
きく	無理がきく	能、可能、经得住
不足	ふそく	不足、不够
寄付	きふ	捐赠、捐助、捐给
挑戦	ちょうせん	挑战
部厚い	ぶあつい	厚、厚实
超格好いい	ちょうかっこいい	太棒了、够神气的
詳しい	くわしい	详细的
気軽な	きがるな	轻松愉快、爽快；随随便便
平気な	へいきな	不在乎、不介意
いろんな	いろんな	いろいろな　口语
確実な	かくじつな	确实、准确
運動不足	うんどうぶそく	缺少运动的、运动不够的
無料の	むりょうの	免费的
専門外の	せんもんがいの	专业外的
手前の	てまえの	自己面前的、跟前
ジャケット	ジャケット	jacket 短外套、短上衣、夹克
自動販売機	じどうはんばいき	自动售货机
書籍	しょせき	书籍
健康保険証	けんこうほけんしょう	健康保险证
玩具	おもちゃ	玩具
親	おや	父母、双亲
好奇心	こうきしん	好奇心
科学者	かがくしゃ	科学家
農業	のうぎょう	农业
種	たね	种子
芽	め	芽
肥料	ひりょう	肥料
田	た	田、稻田、水田
畑	はたけ	田地、旱地
チョコレート	チョコレート	巧克力
キャンディー	キャンディー	糖果
案内所	あんないしょ	问事处、询问处
オフィス	オフィス	office 事务所、办公室
全国	ぜんこく	全国
ファーストクラス	ファーストクラス	头等舱
波	なみ	浪、波浪
国際エクスプレスメール	こくさいエクスプレスメール	国际express mail
土日	どにち	星期六星期天
用	よう	事情
機会	きかい	机会
費用	ひよう	费用
語学	ごがく	外语、语言
ＣＭサング	ＣＭサング	广告歌曲
団体旅行	だんたいりょこう	集体旅游
どんなに	どんなに	不管怎么。。。
いくら～ても	いくら～ても	无论~也、即使~也、怎么~也
早速	さっそく	马上、立刻、急速
それなら	それなら	那样的话
以上	いじょう	以上、超过；上述、前面所述；完、终
以下	いか	以下
以内	いない	以内
以外	いがい	以外
以前	いぜん	以前
以後	いご	以后
自宅	じたく	自宅、自己家
友誼商店	ゆうぎしょうてん	友谊商店
印刷物扱い	いんさつぶつあつかい	作为印刷物处理
別便	べつびん	另行发出的邮件
SAL便	SALびん	surface air lifted mail
たとえ～ても	たとえ～ても	哪怕是、纵使、即使
もうちょい	もうちょい	もうちょっと的随便说法
そんなことない	そんなことない	没那回事
なんか	なんか	（=など） 表示举例说明
