受ける	うける	接收
担ぐ	かつぐ	扛，挑，担，抬
抱く	だく	抱
かかえる	かかえる	抱，搂，挟
殴る	なぐる	殴打
干す	ほす	晒干
這う??	はう	爬
駆ける	かける	奔驰，疾跑
近づく	ちかづく	挨近，临近，亲近
もぐる	もぐる	潜入（水中）
済ませる	すませる	做完，办完
おんぶする	おんぶする	背（小孩）
診察	しんさつ	诊断，诊疗
治療	ちりょう	治疗
健康診断	けんこうしんだん	健康诊断
小っちゃい	ちっりゃい	（小さい）的儿童用语
脇	わき	腋下
祭り	まつり	节日，祭奠，祭日
薬品	やくひん	药品
専門書	せんもんしょ	专业书
わけ	わけ	说明理由
役所	やくしょ	政府机关
市役所	しやくしょ	市政府
税関	ぜいかん	海关
書店	しょてん	书店
水道	すいどう	自来水
水面	すいめん	水面
底	そこ	底
中央	ちゅおう	中央
隣	となり	旁边，近邻
麓	ふもと	山脚，山麓
各地	かくち	各地
都市	とし	都市、城市
乗り場	のりば	乘坐车，船等的地点
スケートリンク	スケートリンク	skate link 滑冰场
いつか	いつか	不知什么时候，早晚，迟早
しっかり	しっかり	好好地，扎实
～してちょうだい	～してちょうだい	表示指示或委托，只对小孩和关系亲密的人使用
だって	だって	因为，含有撒娇语气的说法
～してごらん	～してごらん	试试看
～もん	～もん	もの的通俗说法
西安	せいあん	西安
秦	しん	秦朝
兵馬俑	へいばよう	兵马俑
始皇帝	しこうてい	秦始皇帝
ワンワン	ワンワン	汪汪
こいつ	こいつ	这家伙，这小子
