さしあげる	さしあげる(4)	给（尊敬的用法）
やる	やる(2)	给（人）
くださる	くださる(3)	给（我、我们）
招く	まねく(2)	招待、邀请
診る	みる(1)	诊断、诊察
励ます	はげます(3)	鼓励、激励
誘う	さそう(0)	邀、约；劝诱；引诱、引起
申し出る	もうしでる(4)	申诉、表明、提出、报告
助ける	たすける(3)	帮助；救、救助
教わる	おそわる(4)	受教、跟…学
教える	おしえる	教、教授
むく	むく	去除、剥掉
汲む	くむ(2)	汲（水）、打（水）
支払う	しはらう(3)	支付、付
つかまる	つかまる(4)	抓住（拉手）
崩す	くずす(2)	使…凌乱
世話	せわ(2)	照料、照顾、照看
招待	しょうたい(1)	招待
案内	あんない(3)	引导、向导、带路；通知
指導	しどう(0)	指导
看病	かんびょう(1)	看护、护理
後片付け	あとかたづけ(3)	整理、收拾
乗車	じょうしゃ(0)	乘车、上车
不自由な	ふじゆうな(1)	身体行动不方便、不好使
アルバム	アルバム(0)	影集、影册
絵葉書	えはがき(2)	明信片
吊革	つりかわ(0)	电车公共汽车地铁的拉手
用紙	ようし(0)	用纸、格式纸
皮	かわ(2)	皮、表皮、皮肤
学長	がくちょう(0)	校长（指大学校长）
お客様	おきゃくさま(2)	对“客人”的尊称
大使	たいし(1)	大使
郷里	きょうり(1)	故乡、乡里、老家
土地	とち(0)	土地
内側	うちがわ(0）	内侧、里侧
白線	はくせん(0)	白线
列	れつ(1)	列、排
主義	しゅぎ(1)	主义
ものすごく	ものすごく(4)	“非常仁”的随便口法、口语
ほんの(少し)	ほんの(少し)	一点点
しばらく	しばらく(2)	暂时、不久、一会儿
そんあら	そんあら(3)	それなら口语
召し上がってください	めしあがってください	请用的尊敬语
お上がりください	おあがりください	请进的尊敬语
お楽に	おらくに	请随便
ご遠慮なく	ごえんりょなく	请不要客气
紹介	しょうかい(0)	介绍
麻雀	マージャン(1)	麻将
将棋	しょうぎ(0)	象棋
産地直送	さんちちょくそう(4)	产地直接运来
かえって	かえって(1)	反而
よくいらっしゃいました	よくいらっしゃいました	欢迎光临
何もありませんが	なにもありませんが	什么也没有（劝客人吃、喝的惯用的谦虚语）
こんな心配しないでください	こんなしんぱいしないでください	请不要担心
失礼なんですけど	しつれいなんですけど	对不起、不好意思
遠慮なくいただきます	えんりょなくいただきます	我就不客气吃了
(だ)い/(か)い	(だ)い/(か)い	吗。婉转地表示询问的终组词。
だい	だい	表询问
かい	かい	吗。疑问词的终组词
って＝て	って＝て	口语、简略形式
