かける	保険を～	上保险、缴纳保险
つける	（印を～）	做记号确认
確かめる	たしかめる	弄清、查明
現れる	あらわれる	表现、显出；出现、出来
落第	らくだい	落地、不及格、留级
輸入	ゆにゅう	进口
輸出	ゆしゅつ	出口
記入	きにゅう	填写
留守	るす	不在；看家
得な	とくな	有利的、合算的
青年	せいねん	青年 因人看法而异、大概指13、14、~30岁左右的人。
学者	がくしゃ	学者
少年	しょうねん	少年
少女	しょうじょ	少女
sportsman	スポ―ツマン	运动员
役人	やくにん	官员、官吏、公务员
医者	いしゃ	医生、大夫
校長	こうちょう	校长
生徒	せいと	学生
小学生	しょうがくせい	小学生
中学生	ちゅうがくせい	中学生
高校生	こうこうせい	高中生
大学生	だいがくせい	大学生
大学院生	だいがくいんせい	大学院生、研究生院的学生
泥棒	どろぼう	小偷、贼
氏名	しめい	姓名
年齢	ねんれい	年龄
国籍	こくせき	国籍
上野公園	うえのこうえん	上野公园（在台东区） 公园内以有动物园、樱花、美术馆、博物馆、音乐会场而负盛名。
tennis court	テ二スコ―ト	网球场
pool	プ―ル	游泳池
庭園	ていえん	庭院、花园、园林 根据各种各样的形式而大规模的庭院
美術館	びじゅつかん	美术馆
博物館	はくぶつかん	博物馆
売店	ばいてん	小卖部
大都市	だいとし	大都市、大城市
chewing gum	ガム＝チュ―インガム	口香糖
食料	しょくりょう	食品、食物
中華料理	ちゅうかりょうり	中国菜
部品	ぶひん	零件
原料	げんりょう	原料
鉄鉱石	てっこうせき	铁矿石
原油	げんゆ	原油
宝石	ほうせき	宝石
贋物	にせもの	冒牌货、假东西
週刊誌	しゅうかんし	周刊杂志
回数券	かいすうけん	回数票 打折扣的票。 用于指定车站之间的电车、汽车票。通常用10张的票价可得到11张票
定期券	ていきけん	月票 电车、汽车的月票。1个月、3个月、6个月的月票均可打折扣
証明書	しょうめいしょ	证明书
印	しるし	记号、符号
期限	きげん	期限
行楽	こうらく	游览、游逛 指天气晴朗时、带上吃的东西到郊外去
jazz	ジャズ	爵士音乐
可能性	かのうせい	可能性
住宅問題	じゅうたくもんだい	住宅问题
通信手段	つうしんしゅだん	通信方法
internet	インタ―ネット	国际互联网络、联网
健康保険	けんこうほけん	健康保险
もしかすると	もしかすると	或许、可能
ひょっとすると	ひょっとすると	也行、或许 比[もしかすると]可能性小
いかにも～らしい	いかにも～らしい	实在像~
とにかく	とにかく	不管怎样、无论如何
割りと	わりと	比较
早目に	はやめに	提前
本当に	ほんとうに	真、真的
（～枚分）	～まいぶん	~份儿
大きな	おおきな	大（的）
小さな	ちいさな	小（的）
それほど	それほど	那样、那么
かもね＝かもしれない	かもね＝かもしれない	也许
そのように	そのように	那样地（修饰动词、形容词、副词）
そのような	そのような	那样地（修饰名词）
に話したかもしれないけれど	に話したかもしれないけれど	记不清以前是否说过、为了避免重复而使用的开场白。用于关系亲密的人之间
て（お父さんて）＝（お父さんて）というのは	て（お父さんて）＝（お父さんて）というのは	口语表达时[ん]的音后面的[というのは]变化成[て]
お墓参	おはかまいり	扫墓 指到祖先的墓前打扫墓、并供上鲜花、供物等以祈祷祖先的冥福
火災保険	かさいほけん	火灾保险
書	しょ	书画、特别指艺术性高的东西
線（電車の～）	せん	（电车）的线路
可能性	かのうせい	可能性
お彼岸	おひがん	3月20日、9月22/23日的当天加上前后各三天共一星期的时间、主要是为祖先扫墓
