掘る	ほる	挖、刨
織る	おる	织、编制
光る	ひかる	发光、发亮
眺める	ながめる	眺望；凝视、注视
引きずる	ひきずる	拖、拽
払い戻す	はらいもどす	退还
騒ぐ	さわぐ	吵、吵闹、吵嚷
燃やす	もやす	烧、焚烧
揉む	もむ	搓、揉、捏、推拿
引き返す	ひきかえす	返回、折回
支える	ささえる	支撑、支持、维持
救う	すくう	救、抢救
汚れをとる	とる	去（污）
映す（映画を?）	うつす	放映（电影）
痛そうな様子	ようすをする	（痛）的样子
自信がない	じしんがない	没有自信心
血液検査	けつえきけんさ	验血
注射	ちゅうしゃ	注射、打针
開店祝い	かいてんいわい	祝贺开张
信用	しんよう	信用
惜しい	おしい	可惜的
悔しい	くやしい	令人悔恨的
かゆい	かゆい	痒的、刺痒的
貧しい	まずしい	贫穷的、贫苦的；（经验、才能）贫乏
煙い	けむい	（烟）呛人的、熏人的
くすぐったい	くすぐったい	怕痒的、酥痒的
気の毒な	きのどくな	可怜、悲惨、不幸、可惜
満足な	まんぞくな	满足
不安な	ふあんな	不安
自動的な	じどうてきな	自动（的）
健康な	けんこうな	健康
人々	ひとびと	人们
プロ	プロ	professional的简略 职业的、专门的
態度	たいど	态度
風	ふう	（这样那样的）样
手数料	てすうりょう	手续费
金額	きんがく	金额
寄付金	きふきん	捐款
ローン	ローン	loan 贷款、借款
ビル	ビル	building 大厦、大楼、高楼
柱	はしら	柱子
屋根	やね	屋顶、房顶
隅	すみ	角、角落
井戸	いど	井
穴	あな	坑、洞、孔、眼
データ	データ	data数据
暗証番号	あんしょうばんごう	暗码、密码
汚れ	よごれ	脏污（的东西）、污垢
パチンコ	パチンコ	弹子球；弹子游艺机
玉	たま	弹子游艺机的钢球
贈り物	おくりもの	礼物
お粥	おかゆ	粥
スクリーン	スクリーン	screen 银幕、荧光屏
身分証明書	みぶんしょうめいしょ	身份证
洗剤	せんざい	洗涤剂；洗衣粉
落ち葉	おちば	落叶
実際は	じっさいは	实际上
次々に	つぎつぎに	接连不断地、络绎不绝地
なるほど	なるほど	对对方所说的话表示理解时的应答
（バス）代	?だい	钱、费
ところで	ところで	可是（转换话题时的接续词）
失礼しました	しつれいしました	表示轻微的歉意
弱火	よわび	弱火、文火
こんなに	こんなに	这样
やあ	やあ	喂（男性用语）向对方打招呼时用、对同辈或晚辈使用
そりゃ＝それは	そりゃ＝それは	那（是）
花輪	はなわ	花圈、花环 
映写機	えいしゃき	电影放映机
引き出す	ひきだす	提取、提出
不満な	ふまんな	不满
