抜ける	ぬける	掉、脱落
逃げ出す	にげだす	逃出、溜走
ぶつかる	ぶつかる	碰、撞、遇
溺れる	おぼれる	淹没、溺水
弱る	よわる	软弱、衰弱
控える	ひかえる	控制、节制
目が回る	めがまわる	1.眼晕眼花2.忙得不可开交
詰まる	つまる	1.喘不过气2.憋气、窒息
挙げる	あげる	举（例）
寄越す	よこす	寄来
落とす	おとす	失掉
参る	まいる	来的谦让语
習慣を付ける	しゅうかんをつける	养成习惯
協力	きょうりょく	协作、共同努力
発車	はっしゃ	发车、开车
命令	めいれい	命令
回復	かいふく	恢复
健康管理	けんこうかんり	健康管理
お祈り	おいのり	祈祷、祝愿
早起き	はやおき	早起床
順調	じゅんちょう	顺利
何よりの	なによりの	比什么都^…
社長	しゃちょう	社长
社員	しゃいん	社员
部長	ぶちょう	部长
心臓	しんぞう	心脏
肝臓	かんぞう	肝脏
息	いき	呼吸
サッカー場	サッカーじょう	足球场
窓口	まどぐち	窗口
旗	はた	旗子
必修科目	ひっしゅうかもく	必修科目
も少し	もうすこし	再…一点儿
とても	とても	怎么也不…
わざわざ	わざわざ	特意、特地
絶対	ぜったい	绝对
(手術)後	ご	后
テルテル坊主	テルテルぼうず	扫晴娘
今にも	いまにも	眼看就要…
無理	むり	勉强
もう少しで	もうすこしで	差一点就…
やかましく	やかましく	喋喋不休的唠叨
頼んだよ	たのんだよ	拜托了
その節は	そのせつは	当时、那时
しとく	しておく	しておく的口语表达方式
おいでくださって	おいでくださって	敬请光临
勧める	すすめる	劝告、劝说
溢れる	あふれる	充满、溢出
気が狂う	きがくるう	发疯、发狂
見落とす	みおとす	漏看、忽略过去
ちぎれる	ちぎれる	破碎、被揪断
祈る	いのる	祈祷、祝愿
願う	ねがう	请求
力が貸す	ちからがかす	帮忙、出力
注意	ちゅうい	注意
管理	かんり	管理
お願い	おねがい	请求
