好く	すく	喜爱，喜好
嫌う	きらう	讨厌，不喜欢
苛める	いじめる	欺负，虐待
疑う	うたがう	怀疑，疑问，不相信
だます	だます	欺骗，蒙骗
頼る	たよる	依靠，依仗
憎む	にくむ	憎恨，嫉妒
はさむ	はさむ	夹，夹住
叩く	たたく	敲，打
押す	おす	推，按
引っ掻く	ひっかく	抓，挠
刺す	さす	刺，扎，穿
追い越す	おいこす	越过，赶过，超过
追い掛ける	おいかける	追赶，紧赶
する	する	偷窃
捕らえる	とらえる	捉住、逮住
囲む	かこむ	围，包围，环绕
こき使う	こきつかう	驱使，虐待，压榨
轢く	ひく	（车）扎（了人）
批判	ひはん	批判，批评
信頼	しんらい	信赖
いたずらをする	いたずらをする	做恶作剧
勤続	きんぞく	连续在一个单位工作
手術	しゅじゅつする	做手术
勝手な	かってな	随便，任意，放肆
一文無し	いちもんなし	手无分文，指“没钱”，惯用说法
内緒の	ないしょの	秘密的
すり	すり	小偷，扒手
行員	こういん	银行职员
女房	にょうぼう	"老婆，妻子 ""妻""的略带亲近的说法"
肩	かた	肩，肩膀
制度	せいど	制度、规定
カナダ	カナダ	加拿大
あちこち	あちこち	这儿那儿，到处
ひどい目に遭う	ひどいめにあう	倒霉，吃苦头
そういうふうに	そういうふうに	那样
一体	いったい	到底。。。吗？用于疑问句，表示强烈的疑问
とんでもない	とんでもない	意外的，没料到的
新聞記者	しんぶんきしゃ	报社记者
