閉じる	とじる	关闭、合上
用いる	もちいる	用、使用
催す	もよおす	举行、举办、主办
贈る	おくる	送、赠送
結ぶ	むすぶ	系、结
（計画を）進める	すすめる	 使（计划）进行
省く	はぶく	省略；节省
示す	しめす	表示；指出、指明
思う	おもう	没有好感
定める	さだめる	决定、制定、规定
輝く	かがやく	闪耀、闪烁
発売	はつばい	发售、出售
解散	かいさん	解散、散开
流行	りゅうこう	流行
オーバーな	overな	夸大的、夸张的
一人前の	いちにんまえの	像大人似的、成年人的
ショパン	Chopin	肖邦
夢中な	むちゅうな	热衷、入迷、不顾一切
寝不足の	ねぶそくの	睡眠不足的
そっくりの	そっくりの	一模一样
フワフワの	フワフワの	软绵绵的
人間	にんげん	人、人类
国民	こくみん	国民、公民
美人	びじん	美人
ほっぺ＝はっぺた	ほっぺ＝はっぺた	脸蛋儿（「頬」的幼儿用语）
サンタクロース	Santa Claus	圣诞老人
サンタさん	サンタさん	圣诞老人 「サンタクロース」的昵称
初孫	ういまご	第一个孙子、头生孙子，也说成「はつまご」
心	こころ	心，心胸；真心
マッチ箱	まっちばこ	火柴盒
お盆	おぼん	盘子 指用于搬运吃的东西的平浅的盘子
工芸品	こうげいひん	工艺品
ピアス	ピアス	耳饰（指穿有耳洞的耳环）
記念切手	きねんきって	纪念邮票
記念品	きねんひん	纪念品
弓矢	ゆみや	弓箭
お餅	おもち	年糕
ゲームソフト	game soft	游戏机软件、游戏机卡
クリスマスプレゼント	Christman present	圣诞礼物
衛生放送	えいせいほうそう	卫星转播
短波放送	たんぱほうそう	短波广播
国際会議	こくさいかいぎ	国际会议
委員会	いいんかい	委员会
案	あん	方案、计划；意见、主意
条約	じょうやく	条约
校則	こうそく	校规
代表団	だいひょうだん	代表团
祭り	まつり	祭奠、节日
男女平等	だんじょびょうどう	男女平等
両国	りょうこく	两国
方言	ほうげん	方言
標準語	ひょうじゅんご	标准语、普通话
枕元	まくらもと	枕边、枕旁
ダム	ダム	水库、水坝
砂	すな	沙
紅葉	もみじ	红叶
虹	にじ	彩虹
火	ひ	火
夜中	よなか	半夜、夜半
時代	じだい	时代
唐	とう	唐代
丈	たけ	（裙子）的尺寸、长短
まるで	まるで	完全、简直像……
確か～だ	たしか	的确、确实
そっと	そっと	悄悄地，轻轻地；安静的；偷偷地
ばっちり（～した目）	ばっちり（～した目）	大眼睛
新政府	しんせいふ	新政府
新年	しんねん	新年
よし、きめた	決めた	好、就这样决定了 指经过考虑后，得出结论并作出某一决定时的说法，口语
感じる	かんじる	感觉、感到、觉得
魯迅	ろじん	鲁迅
ピカソ	ピカソ	毕加索
評判の	ひょうばんの	名声好的、出名的
爆竹	ばくちく	爆竹、鞭炮
