包む	つつむ	包上、裹上；包围、笼罩
追う	おう	追赶
かかってくる	かかってくる	挂来（电话）
支度	したく	准备、预备
棄権	きけん	弃权
眩しい	まぶしい	耀眼的、晃眼的
懸命な	けんめいな	拼命
スタートライン	スタートライン	startline、起跑线
レース	レース	race比赛、赛跑
ピストル	ピストル	pistol手枪
先頭	せんとう	最前面、最前头
グループ	グループ	group群、组、帮；集团、团体
観客	かんきゃく	观众
事業	じぎょう	事业
エプロン	エプロン	apron围裙
分	ぶん	份儿
故郷	こきょう	故乡、老家
一斉に	いっせいに	一起、一同
残念ながら	ざんねんながら	很遗憾
さぞ	さぞ	想必、可能、一定...吧
そのうちに	そのうちに	过几天、很快、不久
めざして	めざして	以...为目标
あつ子	あつこ	女孩子的名字
それがそのう	それがそのう	说出与对方推测不同的结果时、欲言又止的表达方法。
やあだ	やあだ	いやだ的随便说法、口语。
ごめん	ごめん	ごめんなさい的随便的说法、口语。
じゃあね	じゃあね	じゃ、失礼します的随便说法、口语。
競り合い	せりあい	互相竞争、争夺
本当に	ほんとうに	实在、确实
