訪ねる	たずねる	拜访、来访
鍛える	きたえる	锻炼、锤炼
戦う	たたかう	战斗、斗争；比赛
備える	そなえる	准备、防备
手が出ない	てがでない	无能为力
酔っぱらう	よっぱらう	醉、喝醉酒
混乱	こんらん	混乱
向上	こうじょう	向上、进步、提高
進歩	しんぽ	进步
普及	ふきゅう	普及
影響	えいきょう	影响
行動	こうどう	行动、行为
マラソン	マラソン	marathon马拉松
一人暮らし	ひとりぐらし	独自生活、单身生活
いい（調子が～）	いい（調子が～）	（状况、情况等）好
悪い（調子が～）	悪い（調子が～）	（状况、情况等）坏
味気ない	あじけない	无聊的、没趣的、乏味的
派手な	はでな	华丽、艳丽、鲜艳；铺张、阔气
地味な	じみな	朴素、质朴；踏实、保守
真面目な	まじめな	认真的、正经的、诚实的
真剣な	しんけんな	认真
円高	えんだか	日元升值
円安	えんやす	日元贬值
ブランド品	ブランドひん	名牌产品、高级商品
価格	かかく	价格
工業	こうぎょう	工业
カプセルホテル	カプセルホテル	太空囊 简易旅馆
お風呂屋さん	おふろやさん	銭湯的通俗叫法。
銭湯	せんとう	公共浴室
煙突	えんとつ	烟囱
コインランドリー	コインランドリー	硬币洗衣房
シャワー室	しゃわーしつ	淋浴室
コインロッカー	コインロッカー	寄放行李柜
設備	せつび	设备
定期入れ	ていきいれ	放月票的夹子
トラブル	トラブル	trouble纠纷、麻烦；事故、故障
不通	ふつう	不通
傾向	けいこう	倾向
不注意	ふちゅうい	不注意、疏忽、大意、不留神
責任	せきにん	责任
どうも　～ようだ	どうも　～ようだ	总觉得
急激に	きゅうげきに	急剧、剧烈
徐々に	じょじょに	慢慢地、徐徐地、贱贱地
仲良く	なかよく	亲密的、和好的
今回	こんかい	这一次、这回
けれども	けれども	可是、但是、不过
納得	なっとく	领会，同意，认可，理解。
ずきずきする	ずきずきする	跳痛貌 指伤口或疼痛处一跳一跳的痛
ということですね（納得）	ということですね	用自己的语言复述一遍对方所说的话、以表示理解。用于句末。
しまった	しまった	糟了、糟糕
機器	きき	机器、机械
品目	ひんもく	品种
