腰掛ける	こしかける	坐下
命じる	めいじる	命令
扱う	あつかう	处理、办理；操作、操纵、使用
めくる	めくる	翻（纸）、掀开
畳む	たたむ	叠、折叠
問題になる	もんだいになる	成问题
まねをする	まねをする	模仿、仿效；行为、举动
ジャンプ	ジャンプ	跳、跳高、撑杆跳；飞涨
開発	かいはつ	开发
同情	どうじょう	同情
格好	かっこう	样子、形态、打扮
下らない	くだらない	无价值的、无用的、无益的；无聊的、没有意思的
最低の	さいていの	最低（的）
最高の	さいこうの	最高（的）
テレビ局	テレビきょく	电视台
ドキュメンタリー	ドキュメンタリー	documentary film 纪录片
娯楽番組	ごらくばんぐみ	娱乐节目
ゴシップ	ゴシップ	杂谈、闲话、趣闻
患者	かんじゃ	患者
コーチ	コーチ	coach 技术指导、教练员
トップ	トップ	top 最高领导人
ジャーナリスト	ジャーナリスト	journalist 报纸、杂志编辑、新闻记者；撰稿人
芸能人	げいのうじん	艺人、文艺界的人
農村	のうそん	农村
塾	じゅく	私塾、塾
事務＝事務局	じむ＝じむきょく	事务局、事务办公室
夕食	ゆうしょく	晚饭
面（いい～）	めん	（好的）方面
わざと	わざと	故意
たまに	たまに	偶尔
決して	けっして	绝（不）、绝对（不）、一定（不）、千万（别）
やらせ	やらせ	指事先商量好、为了达到某一目的而故意让人做某一行动
ページ	ページ	page 页
民放	みんぽう	民间电视广播
視聴者	しちょうしゃ	视听者、电视观众
というんですね　（それで～確認）	というんですね　（それで～確認）	也就是说…接过对方的话、确认其结论的说法。
さあ、どうですかね	さあ、どうですかね	对对方所叙述的内容表示不太赞成时的应答语。
ワイドショー	ワイドショー	wide show 趣闻欣赏
