驚く	おどろく	吃惊、吓了一跳
苦しむ	くるしむ	痛苦、苦恼；吃苦、费力
悲しむ	かなしむ	悲哀、悲痛、伤心
嘆く	なげく	叹息；悲叹；忧愁
裏切る	うらぎる	背叛、辜负、违背
月給を上げる	げっきゅうをあげる	提升（工资）
楽をする	らくをする	追求舒适
気にする	きにする	介意、在乎
泣かせる	なかせる	感人的（内容）、催人泪下的（内容）
稼ぐ	かせぐ	赚钱、挣钱
満足	まんぞく	满足
感心	かんしん	佩服、钦佩
感動	かんどう	感动
再会	さいかい	再会
仕送り	しおくり	父母寄给小孩的生活费、学费
親孝行	おやこうこう	孝顺、孝子、孝女
大病	たいびょう	大病、重病
感動的な	かんどうてきな	感人的、令人感动的
ささやかな	ささやかな	微小、微薄
離れ離れ	はなればなれ	四分五裂的、七零八落的
おやじ	おやじ	我爸爸的随便的称呼。具有亲近感，男性使用。
お袋	おふくろ	我妈妈的随便的称呼。具有亲近感，男性使用。
親子	おやこ	父母和子女
従業員	じゅうぎょういん	工作人员
青春	せいしゅん	青春
冗談	じょうだん	玩笑、笑话、闲话
ドラマ	ドラマ	电视剧
ストーリー	ストーリー	story 故事；（小说、剧本等）结构、情节
シーン	シーン	scene （电影、戏剧等）场面
一言	ひとこと	一句话、简短的话
手品	てじな	戏法、魔术
せめて	せめて	至少、最低、哪怕
とうとう	とうとう	终于、最后、到底
君	きみ	（对同辈男性或关系较亲密的称呼）你
悪かった	わるかった	比ごめんなさい歉意程度低
立ち入ったことを聞くようだけど	立ち入ったことを聞くようだけど	询问对方的私生活时的开头语
ご心配なく	ごしんぱいなく	不用费心、不必客气
うける	うける	收到、接到、得到
（お）さらば	（お）さらば	再见
