罰を受ける	うける	受到（惩罚）
設ける	もうける	赚钱、得利；捡便宜
着せる	きせる	给…穿
(気持ちが)迷う	まよう	犹豫不决、拿不定主意
(金を資金に)当てる	あてる	（把那钱）充当资金
(お嫁に)行く	いく	出(嫁)
ついて(い)ない	ついて(い)ない	运气不好、不走运、晦气、倒霉
担当	たんとう	担当、担任
雑談	ざつだん	闲谈、漫谈、聊天
到着	とうちゃく	到达、抵达
駐車違反	ちゅうしゃいはん	违章停车、乱停车
交通違反	こうつういはん	违反交通规则
お見合い	おみあい	相对象
あくび	あくび	哈欠
古くさい	ふるくさい	破旧的、陈腐的、落后的
元気がない	げんきがない	没有精神
緊急の	きんきゅうの	紧急的
不在の	ふざいの	不在家的
母親	ははおや	母亲
父親	ちちおや	父亲
成人	せいじん	成人、成年人
工場長	こうじょうちょう	厂长
写真館	しゃしんかん	照相馆
運賃	うんちん	车费、运费
旅行資金	りょこうしきん	旅游资金、旅行费用
メモ帳	メモちょう	memo 记事本、记录本
高級品	こうきゅうひん	高级用品
非常ベル	ひじょうべる	bell 报警铃
テレビゲーム	テレビゲーム	电视游戏机
岩	いわ	岩石、岩
用件	ようけん	事情、事情的内容
本分	ほんぶん	本分
万一	まんいち	万一
それはお気の毒に	それはおきのどくに	真可怜；可怜对方的说法，对上级不使用
罰する	ばっする	处罚、罚
政治活動	せいじかつどう	政治活动
さっちゃん	さっちゃん	幸子的爱称
ずうっと＝ずっと	ずうっと＝ずっと	…得多、…的很、一直、始终；一直（走、去、进）
または	または	或、或者
参った	まいった	认输、示弱、服了
そりゃそうだ	そりゃそうだ	是那样的
だけど	だけど	けれども的口语
ぐらい	ぐらい	結婚相手ぐらい自分で見つける　“表示没什么大不了的事”、副组词。
