夜が明ける	あける	天亮、天明
暮れる	くれる	日落、天黑
魚がとれる	とれる	能收获、能生产、能捕捞到鱼
舐める	なめる	舔、尝味
試験に落ちる	おちる	（考试）落第
目が覚める	さめる	醒、睡醒
取り替える	とりかえる	换、更换、更新
おります	おる	在 いる的谦让语
申す	もうす	言う的谦让语
手数をかける	てすう	添麻烦
片付く	かたづく	得到解决、处理好
関心	かんしん	关心、兴趣
完成	かんせい	完成
失業	しつぎょう	失业
出張	しゅっちょう	出差
進学	しんがく	升学
充実	じゅうじつ	充实
マスター	マスター master	掌握、精通、学好
チュックアウト	チュックアウト	check out 付款结账
馬鹿な	ばかな	糊涂、愚蠢
責任者	せきにんしゃ	负责人
副社長	ふくしゃちょう	副社长
刑務所	けいむしょ	监狱、监牢
期末試験	きまつしけん	期末考试
速達	そくたつ	快件、快信
原稿	げんこう	原稿、稿子
間	あいだ	期间
国際政治	こくさいせいじ	国际政治
口座名義	こうざめいぎ	（银行）户头的名义
テニス部	テニスぶ	tennis部 网球部
わずか	わずか	一点点、仅、才
後程	のちほど	回头、过一会儿、随后
偶然	ぐうぜん	偶然
すると	すると	接续词。于是、就 表示前一状态刚发生、后一状态也接着发生或者正在发生。
申し訳ございません	申し訳ございません	すみません的礼貌说法
ごめんくださいませ（別れ）	ごめんくださいませ（別れ）	さようなら的非常礼貌的说法、主要是女性使用
幸子	さちこ	女性的固有名词
まずい＝よくない	まずい＝よくない	不好的
申込み書	もうしこみしょ	申请书、申请
青い顔をする	あおいかおをする	脸色发青 指由于发生重大事情、脸色煞白
お手数をかけてすみません	おてすうをかけてすみません	给你添麻烦~；表示歉意的说法
