失う	うしなう	丢失、丧失、失掉
つぶれる	つぶれる	倒闭
立てる	たてる	制定（计划）
寄る	よる	靠近、挨近；集中、聚集；顺便去、顺路到
震える	ふるえる	颤动、震动；发抖、哆嗦
響く	ひびく	响、发出响声；有回响、发出回音；影响
遅れが出る	でる	出现（落后状态）
あがる	あがる	upset紧张、慌张、失去镇静
関係	かんけい	关系
結ぶ	むすぶ	结成（关系）
邪魔	じゃま	打搅、碍事
誤解	ごかい	误解
スピードアップ	スピードアップ	speed up 加速、加快、提高效率
スリップ	スリップ	自行车或汽车的轮胎打滑
生産	せいさん	生产
増加	ぞうか	增加
融合	ゆうごう	融合、聚合；合并
通勤	つうきん	上班
帰宅	きたく	回家
一周	いっしゅう	一周
世界一周旅行	せかいいっしゅうりょこう	周游世界、环球世界
就職活動	しゅうしょくかつどう	求职
弱い	よわい	懦弱、胆小
粗末な	そまつな	粗糙、粗陋
大量の	たいりょうの	大量的
不合格の	ふごうかくの	不合格的、不及格的
地域	ちいき	地区、区域、地带
東洋	とうよう	东洋
西洋	せいよう	西洋
道路	どうろ	道路、路
床	ゆか	地板
フロント	フロント	账房、登记处、总服务台
宝石店	ほうせきてん	珠宝店
途中	とちゅう	途中、中途、路上、半途
人前	ひとまえ	人前、他人面前
足もと	あしもと	脚下
尻尾	しっぽ	尾巴；末端、末尾
シャッター	シャッター	shutter 商店的卷帘门
宗教	しゅうきょう	宗教
老人会	ろうじんかい	老人会
近ごろ	ちかごろ	近来、这些日子
際	さい	的时候
性格	せいかく	性格
勇気	ゆうき	勇气
胡弓	こきゅう	胡琴
ライト	ライト	light灯
講師	こうし	讲师
人材	じんざい	人才
人影	ひとかげ	人影
独身	どくしん	独身、单身
関係	かんけい	关系
自然現象	しぜんげんしょう	自然现象
株	かぶ	株式的简称、股票、股份
伝染病	でんせんびょう	传染病
思い切って	おもいきって	断然、毅然、决然地、下狠心、一狠心
ワクチン	ワクチン	疫苗、菌苗
どうやら	～らしい	多半、大概、可能是
軒並み	のきなみ	屋檐栉比、各家各户；全、全部
困る	こまる	为难、不好办
そりゃいけないな	そりゃいけないな	够呛、男性使用的口语
