伏せる	ふせる	隐藏
つく	つく	回到（位置上）
撃つ	うつ	放、射击
どく	どく	躲开
触れる	ふれる	摸、触、碰；触及、涉及
望む	のぞむ	希望、愿望
求める	もとめる	想要、渴望、希望；要求、征求
感じる	かんじる	感觉
頼りにする	たよりにする	依靠、借助
立つ	たつ	冒（热气）
モタモタする	モタモタする	态度不明朗、行动不明确、缓慢不痛快
印刷	いんさつ	印刷
期待	きたい	期待
想像	そうぞう	想象
よそ見	よそみ	看旁边
予行演習（予行練習）	よこうれんしゅう	预演、预先演习
競技	きょうぎ	竞技、竞赛、比赛
秀才	しゅうさい	秀才
兵隊	へいたい	士兵、军人、军队
強盗	ごうとう	强盗
お小遣い	おこづかい	零用钱
銃	じゅう	枪
大声	おおごえ	大声
かけ声	かけごえ	喊声、吆喝声；号子声
テキスト	テキスト	text book 教科书、教材
プリント	プリント	print 印刷、印刷品；油印讲义
プログラム	プログラム	program 程序表、预定表；演奏节目、说明书
注	ちゅう	注解、注释
説明書	せつめいしょ	说明书
案内書	あんないしょ	说明书、邀请书
いちいち	いちいち	一一地、一个一个地；一个不漏的、详细的、都
入隊	にゅうたい	参军
上官	じょうかん	上司、上级
赤組	あかぐみ	运动会的白队、红队
位置	いち	位置について：各就各位
スタートライン	スタートライン	start line 起跑线
こう	こう	这样、那么
ああ	ああ	这样、那么；啊、哎呀
はあい	はあい	为了使指导对象注意力集中到自己这里、以便进行下一动作时的吆喝声
用意ドン	よういドン	预备、咚！
フレーフレー	フレーフレー	hurray 加油
わかんない	わかんない	わからない的随便说法、口语
何言ってんだ	なにいってんだ	何をくだらないことを言っているのだ的随便说法、口语　男性使用
ならいいよ	ならいいよ	それならもういいよ的随便说法、口语
フンだ	フンだ	哼
